network,avg_price,min_price,max_price,stores
AUCHAN,5.25,5.25,5.25,7
CORA,5.45,5.29,5.49,5
MEGA IMAGE SRL,5.49,5.49,5.88,275
SELGROS,5.49,5.49,5.49,15
CARREFOUR,5.64,5.25,6.09,83
KAUFLAND,5.79,5.79,5.79,165

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,5.5
KAUFLAND,13.04.2026 20:00,5.79
SELGROS,13.04.2026 20:00,5.49
AUCHAN,15.04.2026 04:00,5.25
CARREFOUR,15.04.2026 04:00,5.25
CORA,15.04.2026 04:00,5.49
KAUFLAND,15.04.2026 04:00,5.79
MEGA IMAGE SRL,15.04.2026 04:00,5.72
SELGROS,15.04.2026 04:00,5.49
AUCHAN,15.04.2026 20:00,5.25
CARREFOUR,15.04.2026 20:00,5.6
CORA,15.04.2026 20:00,5.46
KAUFLAND,15.04.2026 20:00,5.79
MEGA IMAGE SRL,15.04.2026 20:00,5.67
SELGROS,15.04.2026 20:00,5.49
CARREFOUR,16.04.2026 04:00,5.57
KAUFLAND,16.04.2026 04:00,5.79
MEGA IMAGE SRL,16.04.2026 04:00,5.49
SELGROS,16.04.2026 04:00,5.49
AUCHAN,16.04.2026 20:00,5.25
CARREFOUR,16.04.2026 20:00,5.51
CORA,16.04.2026 20:00,5.49
KAUFLAND,16.04.2026 20:00,5.79
MEGA IMAGE SRL,16.04.2026 20:00,5.49
SELGROS,16.04.2026 20:00,5.49
AUCHAN,17.04.2026 04:00,5.25
CARREFOUR,17.04.2026 04:00,5.64
CORA,17.04.2026 04:00,5.45
KAUFLAND,17.04.2026 04:00,5.79
MEGA IMAGE SRL,17.04.2026 04:00,5.49
SELGROS,17.04.2026 04:00,5.49
