network,avg_price,min_price,max_price,stores
KAUFLAND,5.99,5.99,5.99,78
SELGROS,5.99,5.99,5.99,8
PROFI,6.17,5.59,6.59,89
CARREFOUR,6.82,6.39,7.19,49
AUCHAN,6.89,5.45,7.19,19

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,6.71
KAUFLAND,13.04.2026 20:00,5.99
PROFI,13.04.2026 20:00,6.04
SELGROS,13.04.2026 20:00,5.99
AUCHAN,15.04.2026 04:00,7.19
AUCHAN,15.04.2026 20:00,6.89
CARREFOUR,15.04.2026 20:00,6.86
KAUFLAND,15.04.2026 20:00,5.99
PROFI,15.04.2026 20:00,6.22
SELGROS,15.04.2026 20:00,5.99
SELGROS,16.04.2026 04:00,5.99
AUCHAN,16.04.2026 20:00,7.19
SELGROS,16.04.2026 20:00,5.99
AUCHAN,17.04.2026 04:00,6.89
CARREFOUR,17.04.2026 04:00,6.82
KAUFLAND,17.04.2026 04:00,5.99
PROFI,17.04.2026 04:00,6.17
SELGROS,17.04.2026 04:00,5.99
