network,avg_price,min_price,max_price,stores
SELGROS,5.99,5.99,5.99,17
PROFI,6.63,4.78,6.98,410
MEGA IMAGE SRL,6.77,6.59,7.26,251
AUCHAN,6.79,5.99,7.29,13
SUPECO,6.85,6.85,6.85,19
CORA,6.97,6.49,7.09,5
CARREFOUR,7.07,6.69,8.49,162
LIDL DISCOUNT SRL,7.29,7.29,7.29,2
KAUFLAND,7.31,7.31,7.31,167

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,7.12
KAUFLAND,13.04.2026 20:00,7.31
PROFI,13.04.2026 20:00,6.51
SELGROS,13.04.2026 20:00,5.99
CARREFOUR,15.04.2026 04:00,7.19
CORA,15.04.2026 04:00,7.09
KAUFLAND,15.04.2026 04:00,7.31
MEGA IMAGE SRL,15.04.2026 04:00,6.72
PROFI,15.04.2026 04:00,6.74
SELGROS,15.04.2026 04:00,5.99
SUPECO,15.04.2026 04:00,6.85
AUCHAN,15.04.2026 20:00,6.83
CARREFOUR,15.04.2026 20:00,7.12
CORA,15.04.2026 20:00,6.99
KAUFLAND,15.04.2026 20:00,7.31
LIDL DISCOUNT SRL,15.04.2026 20:00,7.29
MEGA IMAGE SRL,15.04.2026 20:00,6.7
PROFI,15.04.2026 20:00,6.67
SELGROS,15.04.2026 20:00,5.99
SUPECO,15.04.2026 20:00,6.85
CARREFOUR,16.04.2026 04:00,7.2
KAUFLAND,16.04.2026 04:00,7.31
MEGA IMAGE SRL,16.04.2026 04:00,6.59
PROFI,16.04.2026 04:00,6.68
SELGROS,16.04.2026 04:00,5.99
AUCHAN,16.04.2026 20:00,7.29
CARREFOUR,16.04.2026 20:00,7.22
CORA,16.04.2026 20:00,7.09
KAUFLAND,16.04.2026 20:00,7.31
MEGA IMAGE SRL,16.04.2026 20:00,6.65
PROFI,16.04.2026 20:00,6.68
SELGROS,16.04.2026 20:00,5.99
AUCHAN,17.04.2026 04:00,6.79
CARREFOUR,17.04.2026 04:00,7.07
CORA,17.04.2026 04:00,6.97
KAUFLAND,17.04.2026 04:00,7.31
LIDL DISCOUNT SRL,17.04.2026 04:00,7.29
MEGA IMAGE SRL,17.04.2026 04:00,6.77
PROFI,17.04.2026 04:00,6.63
SELGROS,17.04.2026 04:00,5.99
SUPECO,17.04.2026 04:00,6.85
