network,avg_price,min_price,max_price,stores
CARREFOUR,2.22,1.57,2.45,6
PROFI,3.43,3.43,3.43,1
MEGA IMAGE SRL,124.09,124.09,124.09,2

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,2.13
CORA,15.04.2026 04:00,1.44
MEGA IMAGE SRL,15.04.2026 04:00,124.09
PROFI,15.04.2026 04:00,3.43
SELGROS,15.04.2026 04:00,0.29
SUPECO,15.04.2026 04:00,1.39
AUCHAN,15.04.2026 20:00,1.45
CARREFOUR,15.04.2026 20:00,2.2
CORA,15.04.2026 20:00,1.44
MEGA IMAGE SRL,15.04.2026 20:00,124.09
PROFI,15.04.2026 20:00,3.43
CARREFOUR,16.04.2026 04:00,2.22
MEGA IMAGE SRL,16.04.2026 04:00,124.09
PROFI,16.04.2026 04:00,3.43
