network,avg_price,min_price,max_price,stores
KAUFLAND,10.39,10.39,10.39,5
CARREFOUR,10.49,9.99,10.99,2
PROFI,12.85,12.85,12.85,4

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,10.19
CARREFOUR,15.04.2026 04:00,10.19
KAUFLAND,15.04.2026 04:00,10.39
PROFI,15.04.2026 04:00,13.05
SELGROS,15.04.2026 04:00,10.07
AUCHAN,15.04.2026 20:00,10.12
CARREFOUR,15.04.2026 20:00,10.28
KAUFLAND,15.04.2026 20:00,10.39
PROFI,15.04.2026 20:00,12.81
CARREFOUR,16.04.2026 04:00,10.49
KAUFLAND,16.04.2026 04:00,10.39
PROFI,16.04.2026 04:00,12.85
