network,avg_price,min_price,max_price,stores
CORA,16.59,16.59,16.59,5
AUCHAN,23.0,22.89,23.59,16
SELGROS,23.23,23.23,23.23,17
PROFI,23.24,21.29,24.39,480
MEGA IMAGE SRL,23.88,22.6,24.29,263
CARREFOUR,23.99,23.99,23.99,38

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,23.99
PROFI,13.04.2026 20:00,23.58
SELGROS,13.04.2026 20:00,23.23
CARREFOUR,15.04.2026 04:00,23.99
CORA,15.04.2026 04:00,16.59
MEGA IMAGE SRL,15.04.2026 04:00,23.83
PROFI,15.04.2026 04:00,23.51
SELGROS,15.04.2026 04:00,23.23
AUCHAN,15.04.2026 20:00,23.0
CARREFOUR,15.04.2026 20:00,23.99
CORA,15.04.2026 20:00,16.59
MEGA IMAGE SRL,15.04.2026 20:00,23.8
PROFI,15.04.2026 20:00,23.3
SELGROS,15.04.2026 20:00,23.23
CARREFOUR,16.04.2026 04:00,23.99
MEGA IMAGE SRL,16.04.2026 04:00,23.73
PROFI,16.04.2026 04:00,22.79
SELGROS,16.04.2026 04:00,23.23
AUCHAN,16.04.2026 20:00,22.94
CARREFOUR,16.04.2026 20:00,23.99
CORA,16.04.2026 20:00,16.59
MEGA IMAGE SRL,16.04.2026 20:00,23.78
PROFI,16.04.2026 20:00,23.09
SELGROS,16.04.2026 20:00,23.23
AUCHAN,17.04.2026 04:00,23.0
CARREFOUR,17.04.2026 04:00,23.99
CORA,17.04.2026 04:00,16.59
MEGA IMAGE SRL,17.04.2026 04:00,23.88
PROFI,17.04.2026 04:00,23.24
SELGROS,17.04.2026 04:00,23.23
