network,avg_price,min_price,max_price,stores
SELGROS,3.76,3.76,3.76,4
KAUFLAND,4.87,4.87,4.87,77
CORA,4.99,4.99,4.99,5
CARREFOUR,5.09,4.89,5.39,81
SUPECO,5.09,5.09,5.09,7
PROFI,6.3,1.5,6.85,155

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,5.02
KAUFLAND,13.04.2026 20:00,4.87
PROFI,13.04.2026 20:00,5.98
CARREFOUR,15.04.2026 04:00,5.01
CORA,15.04.2026 04:00,4.99
CARREFOUR,15.04.2026 20:00,5.08
CORA,15.04.2026 20:00,4.99
KAUFLAND,15.04.2026 20:00,4.87
PROFI,15.04.2026 20:00,6.33
SELGROS,15.04.2026 20:00,3.76
SUPECO,15.04.2026 20:00,5.09
CARREFOUR,16.04.2026 04:00,5.09
CARREFOUR,16.04.2026 20:00,5.07
CORA,16.04.2026 20:00,4.99
CARREFOUR,17.04.2026 04:00,5.09
CORA,17.04.2026 04:00,4.99
KAUFLAND,17.04.2026 04:00,4.87
PROFI,17.04.2026 04:00,6.3
SELGROS,17.04.2026 04:00,3.76
SUPECO,17.04.2026 04:00,5.09
