network,avg_price,min_price,max_price,stores
CARREFOUR,54.49,54.49,54.49,6
KAUFLAND,54.49,54.49,54.49,5
MEGA IMAGE SRL,54.61,54.29,57.29,19

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,54.49
CARREFOUR,15.04.2026 04:00,54.49
CORA,15.04.2026 04:00,47.69
KAUFLAND,15.04.2026 04:00,54.49
MEGA IMAGE SRL,15.04.2026 04:00,55.06
SELGROS,15.04.2026 04:00,51.4
AUCHAN,15.04.2026 20:00,53.65
CARREFOUR,15.04.2026 20:00,54.49
CORA,15.04.2026 20:00,47.69
KAUFLAND,15.04.2026 20:00,54.49
MEGA IMAGE SRL,15.04.2026 20:00,54.47
CARREFOUR,16.04.2026 04:00,54.49
KAUFLAND,16.04.2026 04:00,54.49
MEGA IMAGE SRL,16.04.2026 04:00,54.61
