network,avg_price,min_price,max_price,stores
CORA,27.37,26.49,27.59,5
AUCHAN,32.19,32.19,32.19,14
KAUFLAND,33.49,33.49,33.49,167
SELGROS,36.47,36.47,36.47,17
CARREFOUR,36.77,32.29,39.49,187

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,35.99
KAUFLAND,13.04.2026 20:00,33.49
SELGROS,13.04.2026 20:00,36.47
AUCHAN,15.04.2026 04:00,32.19
CARREFOUR,15.04.2026 04:00,35.84
CORA,15.04.2026 04:00,27.59
KAUFLAND,15.04.2026 04:00,33.49
SELGROS,15.04.2026 04:00,36.47
AUCHAN,15.04.2026 20:00,32.19
CARREFOUR,15.04.2026 20:00,36.83
CORA,15.04.2026 20:00,27.41
KAUFLAND,15.04.2026 20:00,33.49
SELGROS,15.04.2026 20:00,36.47
CARREFOUR,16.04.2026 04:00,37.87
KAUFLAND,16.04.2026 04:00,33.49
SELGROS,16.04.2026 04:00,36.47
AUCHAN,16.04.2026 20:00,32.19
CARREFOUR,16.04.2026 20:00,36.65
CORA,16.04.2026 20:00,27.59
KAUFLAND,16.04.2026 20:00,33.49
SELGROS,16.04.2026 20:00,36.47
AUCHAN,17.04.2026 04:00,32.19
CARREFOUR,17.04.2026 04:00,36.77
CORA,17.04.2026 04:00,27.37
KAUFLAND,17.04.2026 04:00,33.49
SELGROS,17.04.2026 04:00,36.47
