network,avg_price,min_price,max_price,stores
PROFI,6.49,6.49,6.49,1
KAUFLAND,6.59,6.59,6.59,5
CARREFOUR,6.79,5.59,7.99,6
MEGA IMAGE SRL,7.09,7.09,7.09,17

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,6.99
CARREFOUR,15.04.2026 04:00,6.03
CORA,15.04.2026 04:00,6.99
KAUFLAND,15.04.2026 04:00,4.99
MEGA IMAGE SRL,15.04.2026 04:00,7.09
PROFI,15.04.2026 04:00,6.96
SELGROS,15.04.2026 04:00,6.87
SUPECO,15.04.2026 04:00,6.49
AUCHAN,15.04.2026 20:00,5.49
CARREFOUR,15.04.2026 20:00,6.78
CORA,15.04.2026 20:00,6.99
KAUFLAND,15.04.2026 20:00,6.59
MEGA IMAGE SRL,15.04.2026 20:00,7.09
PROFI,15.04.2026 20:00,6.49
CARREFOUR,16.04.2026 04:00,6.79
KAUFLAND,16.04.2026 04:00,6.59
MEGA IMAGE SRL,16.04.2026 04:00,7.09
PROFI,16.04.2026 04:00,6.49
