network,avg_price,min_price,max_price,stores
PROFI,6.08,3.86,10.59,165
CORA,10.7,10.7,10.7,5
AUCHAN,12.4,9.19,13.99,27
SELGROS,12.92,12.92,12.92,17
KAUFLAND,12.99,12.99,12.99,167
MEGA IMAGE SRL,14.01,13.99,14.59,178
CARREFOUR,14.71,13.49,15.99,146

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,14.49
KAUFLAND,13.04.2026 20:00,12.99
PROFI,13.04.2026 20:00,4.43
SELGROS,13.04.2026 20:00,12.92
AUCHAN,15.04.2026 04:00,12.99
CARREFOUR,15.04.2026 04:00,13.84
CORA,15.04.2026 04:00,10.7
KAUFLAND,15.04.2026 04:00,12.99
MEGA IMAGE SRL,15.04.2026 04:00,14.04
PROFI,15.04.2026 04:00,7.15
SELGROS,15.04.2026 04:00,12.92
AUCHAN,15.04.2026 20:00,12.38
CARREFOUR,15.04.2026 20:00,14.79
CORA,15.04.2026 20:00,10.7
KAUFLAND,15.04.2026 20:00,12.99
MEGA IMAGE SRL,15.04.2026 20:00,14.01
PROFI,15.04.2026 20:00,6.18
SELGROS,15.04.2026 20:00,12.92
CARREFOUR,16.04.2026 04:00,14.54
KAUFLAND,16.04.2026 04:00,12.99
MEGA IMAGE SRL,16.04.2026 04:00,14.03
PROFI,16.04.2026 04:00,4.4
SELGROS,16.04.2026 04:00,12.92
AUCHAN,16.04.2026 20:00,12.99
CARREFOUR,16.04.2026 20:00,14.53
CORA,16.04.2026 20:00,10.7
KAUFLAND,16.04.2026 20:00,12.99
MEGA IMAGE SRL,16.04.2026 20:00,14.02
PROFI,16.04.2026 20:00,7.83
SELGROS,16.04.2026 20:00,12.92
AUCHAN,17.04.2026 04:00,12.4
CARREFOUR,17.04.2026 04:00,14.71
CORA,17.04.2026 04:00,10.7
KAUFLAND,17.04.2026 04:00,12.99
MEGA IMAGE SRL,17.04.2026 04:00,14.01
PROFI,17.04.2026 04:00,6.08
SELGROS,17.04.2026 04:00,12.92
