network,avg_price,min_price,max_price,stores
AUCHAN,5.89,5.89,5.89,1
SUPECO,5.89,5.89,5.99,21
CARREFOUR,6.21,3.17,6.29,209
PROFI,6.3,5.59,6.75,762

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,6.14
PROFI,13.04.2026 20:00,6.36
CARREFOUR,15.04.2026 04:00,6.2
PROFI,15.04.2026 04:00,6.39
SUPECO,15.04.2026 04:00,5.89
AUCHAN,15.04.2026 20:00,5.89
CARREFOUR,15.04.2026 20:00,6.24
PROFI,15.04.2026 20:00,6.32
SUPECO,15.04.2026 20:00,5.89
CARREFOUR,16.04.2026 04:00,6.23
PROFI,16.04.2026 04:00,6.3
CARREFOUR,16.04.2026 20:00,6.23
PROFI,16.04.2026 20:00,6.26
AUCHAN,17.04.2026 04:00,5.89
CARREFOUR,17.04.2026 04:00,6.21
PROFI,17.04.2026 04:00,6.3
SUPECO,17.04.2026 04:00,5.89
