network,avg_price,min_price,max_price,stores
CORA,2.79,2.79,2.79,5
AUCHAN,2.83,2.79,3.19,28
KAUFLAND,2.99,2.99,2.99,167
SELGROS,3.09,3.09,3.09,16
PROFI,3.1,2.09,3.35,441
CARREFOUR,3.14,2.79,3.49,277
MEGA IMAGE SRL,3.18,3.18,3.18,43

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,3.19
KAUFLAND,13.04.2026 20:00,2.49
PROFI,13.04.2026 20:00,3.15
SELGROS,13.04.2026 20:00,3.09
AUCHAN,15.04.2026 04:00,2.79
CARREFOUR,15.04.2026 04:00,3.14
CORA,15.04.2026 04:00,2.79
KAUFLAND,15.04.2026 04:00,2.49
MEGA IMAGE SRL,15.04.2026 04:00,3.19
PROFI,15.04.2026 04:00,3.14
SELGROS,15.04.2026 04:00,3.09
AUCHAN,15.04.2026 20:00,2.82
CARREFOUR,15.04.2026 20:00,3.15
CORA,15.04.2026 20:00,2.79
KAUFLAND,15.04.2026 20:00,2.99
MEGA IMAGE SRL,15.04.2026 20:00,3.19
PROFI,15.04.2026 20:00,3.12
SELGROS,15.04.2026 20:00,3.09
CARREFOUR,16.04.2026 04:00,3.15
KAUFLAND,16.04.2026 04:00,2.99
MEGA IMAGE SRL,16.04.2026 04:00,3.19
PROFI,16.04.2026 04:00,3.09
SELGROS,16.04.2026 04:00,3.09
AUCHAN,16.04.2026 20:00,2.79
CARREFOUR,16.04.2026 20:00,3.12
CORA,16.04.2026 20:00,2.79
KAUFLAND,16.04.2026 20:00,2.99
MEGA IMAGE SRL,16.04.2026 20:00,3.18
PROFI,16.04.2026 20:00,3.1
SELGROS,16.04.2026 20:00,3.09
AUCHAN,17.04.2026 04:00,2.83
CARREFOUR,17.04.2026 04:00,3.14
CORA,17.04.2026 04:00,2.79
KAUFLAND,17.04.2026 04:00,2.99
MEGA IMAGE SRL,17.04.2026 04:00,3.18
PROFI,17.04.2026 04:00,3.1
SELGROS,17.04.2026 04:00,3.09
