network,avg_price,min_price,max_price,stores
CARREFOUR,0.93,0.89,0.99,5
AUCHAN,1.04,0.89,1.19,4
PROFI,1.22,0.99,1.29,4
CORA,3.27,1.09,12.0,5

network,price_date,avg_price
CORA,15.04.2026 04:00,1.09
AUCHAN,15.04.2026 20:00,1.07
CARREFOUR,15.04.2026 20:00,0.92
CORA,15.04.2026 20:00,5.73
PROFI,15.04.2026 20:00,1.29
AUCHAN,16.04.2026 20:00,1.19
CORA,16.04.2026 20:00,15.0
AUCHAN,17.04.2026 04:00,1.04
CARREFOUR,17.04.2026 04:00,0.93
CORA,17.04.2026 04:00,3.27
PROFI,17.04.2026 04:00,1.22
