network,avg_price,min_price,max_price,stores
CORA,4.79,4.79,4.79,5
KAUFLAND,5.09,5.09,5.09,167
SUPECO,5.09,5.09,5.09,19
MEGA IMAGE SRL,5.29,5.29,5.69,105
CARREFOUR,5.32,4.59,6.79,244
AUCHAN,5.45,4.89,5.79,24
PROFI,5.45,4.49,5.79,789
SELGROS,5.55,5.55,5.55,16

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,5.31
KAUFLAND,13.04.2026 20:00,5.09
PROFI,13.04.2026 20:00,5.46
SELGROS,13.04.2026 20:00,5.55
AUCHAN,15.04.2026 04:00,5.58
CARREFOUR,15.04.2026 04:00,5.19
CORA,15.04.2026 04:00,4.79
KAUFLAND,15.04.2026 04:00,5.09
MEGA IMAGE SRL,15.04.2026 04:00,5.29
PROFI,15.04.2026 04:00,5.59
SELGROS,15.04.2026 04:00,5.55
SUPECO,15.04.2026 04:00,5.09
AUCHAN,15.04.2026 20:00,5.47
CARREFOUR,15.04.2026 20:00,5.34
CORA,15.04.2026 20:00,4.79
KAUFLAND,15.04.2026 20:00,5.09
MEGA IMAGE SRL,15.04.2026 20:00,5.29
PROFI,15.04.2026 20:00,5.47
SELGROS,15.04.2026 20:00,5.55
SUPECO,15.04.2026 20:00,5.09
CARREFOUR,16.04.2026 04:00,5.29
KAUFLAND,16.04.2026 04:00,5.09
MEGA IMAGE SRL,16.04.2026 04:00,5.29
PROFI,16.04.2026 04:00,5.49
SELGROS,16.04.2026 04:00,5.55
AUCHAN,16.04.2026 20:00,5.58
CARREFOUR,16.04.2026 20:00,5.24
CORA,16.04.2026 20:00,4.79
KAUFLAND,16.04.2026 20:00,5.09
MEGA IMAGE SRL,16.04.2026 20:00,5.29
PROFI,16.04.2026 20:00,5.52
SELGROS,16.04.2026 20:00,5.55
AUCHAN,17.04.2026 04:00,5.45
CARREFOUR,17.04.2026 04:00,5.32
CORA,17.04.2026 04:00,4.79
KAUFLAND,17.04.2026 04:00,5.09
MEGA IMAGE SRL,17.04.2026 04:00,5.29
PROFI,17.04.2026 04:00,5.45
SELGROS,17.04.2026 04:00,5.55
SUPECO,17.04.2026 04:00,5.09
