network,avg_price,min_price,max_price,stores
MEGA IMAGE SRL,3.59,3.59,3.59,2
KAUFLAND,3.65,3.65,3.65,5
CARREFOUR,3.81,3.49,3.95,6
PROFI,4.09,4.09,4.09,1

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,3.69
CORA,15.04.2026 04:00,3.19
KAUFLAND,15.04.2026 04:00,3.65
MEGA IMAGE SRL,15.04.2026 04:00,3.59
PROFI,15.04.2026 04:00,3.92
CARREFOUR,15.04.2026 20:00,3.79
CORA,15.04.2026 20:00,3.19
KAUFLAND,15.04.2026 20:00,3.65
MEGA IMAGE SRL,15.04.2026 20:00,3.59
PROFI,15.04.2026 20:00,4.11
CARREFOUR,16.04.2026 04:00,3.81
KAUFLAND,16.04.2026 04:00,3.65
MEGA IMAGE SRL,16.04.2026 04:00,3.59
PROFI,16.04.2026 04:00,4.09
