network,avg_price,min_price,max_price,stores
SELGROS,4.25,4.25,4.25,5
CORA,6.49,6.49,6.49,4
MEGA IMAGE SRL,7.41,7.39,7.69,123
PROFI,7.51,7.29,7.99,137
CARREFOUR,7.8,7.09,9.59,47
AUCHAN,8.94,7.19,29.99,13
KAUFLAND,42.99,42.99,42.99,27

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,42.99
CARREFOUR,15.04.2026 04:00,7.59
KAUFLAND,15.04.2026 04:00,42.99
MEGA IMAGE SRL,15.04.2026 04:00,7.19
PROFI,15.04.2026 04:00,6.92
AUCHAN,15.04.2026 20:00,32.57
CARREFOUR,15.04.2026 20:00,7.84
CORA,15.04.2026 20:00,6.49
KAUFLAND,15.04.2026 20:00,42.99
MEGA IMAGE SRL,15.04.2026 20:00,7.21
PROFI,15.04.2026 20:00,7.5
SELGROS,15.04.2026 20:00,4.25
AUCHAN,17.04.2026 04:00,32.57
CARREFOUR,17.04.2026 04:00,7.84
CORA,17.04.2026 04:00,6.49
KAUFLAND,17.04.2026 04:00,42.99
MEGA IMAGE SRL,17.04.2026 04:00,7.21
PROFI,17.04.2026 04:00,7.5
SELGROS,17.04.2026 04:00,4.25
AUCHAN,17.04.2026 20:00,32.57
CARREFOUR,17.04.2026 20:00,7.85
CORA,17.04.2026 20:00,6.49
KAUFLAND,17.04.2026 20:00,42.99
MEGA IMAGE SRL,17.04.2026 20:00,7.22
PROFI,17.04.2026 20:00,7.51
SELGROS,17.04.2026 20:00,4.25
AUCHAN,18.04.2026 20:00,31.82
CARREFOUR,18.04.2026 20:00,7.85
CORA,18.04.2026 20:00,6.49
KAUFLAND,18.04.2026 20:00,42.99
MEGA IMAGE SRL,18.04.2026 20:00,7.21
PROFI,18.04.2026 20:00,7.51
SELGROS,18.04.2026 20:00,4.25
AUCHAN,19.04.2026 20:00,30.96
CARREFOUR,19.04.2026 20:00,7.85
CORA,19.04.2026 20:00,6.49
KAUFLAND,19.04.2026 20:00,42.99
MEGA IMAGE SRL,19.04.2026 20:00,7.21
PROFI,19.04.2026 20:00,7.51
SELGROS,19.04.2026 20:00,4.25
AUCHAN,20.04.2026 20:00,30.96
CARREFOUR,20.04.2026 20:00,7.81
CORA,20.04.2026 20:00,6.49
KAUFLAND,20.04.2026 20:00,42.99
MEGA IMAGE SRL,20.04.2026 20:00,7.21
PROFI,20.04.2026 20:00,7.5
SELGROS,20.04.2026 20:00,4.25
AUCHAN,21.04.2026 20:00,8.94
CARREFOUR,21.04.2026 20:00,7.81
CORA,21.04.2026 20:00,6.49
KAUFLAND,21.04.2026 20:00,42.99
MEGA IMAGE SRL,21.04.2026 20:00,7.21
PROFI,21.04.2026 20:00,7.5
SELGROS,21.04.2026 20:00,4.25
AUCHAN,22.04.2026 20:00,8.94
CARREFOUR,22.04.2026 20:00,7.8
CORA,22.04.2026 20:00,6.49
KAUFLAND,22.04.2026 20:00,42.99
MEGA IMAGE SRL,22.04.2026 20:00,7.41
PROFI,22.04.2026 20:00,7.51
SELGROS,22.04.2026 20:00,4.25
