network,avg_price,min_price,max_price,stores
MEGA IMAGE SRL,6.19,6.19,6.19,15
CARREFOUR,6.63,6.09,6.99,5
KAUFLAND,7.29,7.29,7.29,5
PROFI,7.29,7.29,7.29,3

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,6.27
CORA,15.04.2026 04:00,5.99
KAUFLAND,15.04.2026 04:00,7.29
MEGA IMAGE SRL,15.04.2026 04:00,6.32
PROFI,15.04.2026 04:00,7.29
SUPECO,15.04.2026 04:00,6.29
CARREFOUR,15.04.2026 20:00,6.47
CORA,15.04.2026 20:00,5.99
KAUFLAND,15.04.2026 20:00,7.29
MEGA IMAGE SRL,15.04.2026 20:00,6.2
PROFI,15.04.2026 20:00,7.29
CARREFOUR,16.04.2026 04:00,6.63
KAUFLAND,16.04.2026 04:00,7.29
MEGA IMAGE SRL,16.04.2026 04:00,6.19
PROFI,16.04.2026 04:00,7.29
