network,avg_price,min_price,max_price,stores
CORA,6.49,6.49,6.49,5
SUPECO,6.89,6.89,6.99,21
AUCHAN,7.24,7.15,7.99,18
PROFI,7.33,6.75,7.49,53
CARREFOUR,7.91,7.19,9.59,216

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,7.79
PROFI,13.04.2026 20:00,5.99
AUCHAN,15.04.2026 04:00,7.17
CARREFOUR,15.04.2026 04:00,7.59
CORA,15.04.2026 04:00,6.49
AUCHAN,15.04.2026 20:00,7.23
CARREFOUR,15.04.2026 20:00,7.98
CORA,15.04.2026 20:00,6.49
PROFI,15.04.2026 20:00,7.36
SUPECO,15.04.2026 20:00,6.89
CARREFOUR,16.04.2026 04:00,8.05
AUCHAN,16.04.2026 20:00,7.16
CARREFOUR,16.04.2026 20:00,7.85
CORA,16.04.2026 20:00,6.49
PROFI,16.04.2026 20:00,7.36
AUCHAN,17.04.2026 04:00,7.24
CARREFOUR,17.04.2026 04:00,7.91
CORA,17.04.2026 04:00,6.49
PROFI,17.04.2026 04:00,7.33
SUPECO,17.04.2026 04:00,6.89
