network,avg_price,min_price,max_price,stores
MEGA IMAGE SRL,14.99,14.99,14.99,11
KAUFLAND,16.99,16.99,16.99,5
CARREFOUR,17.16,15.99,18.49,6

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,17.16
CORA,15.04.2026 04:00,16.49
KAUFLAND,15.04.2026 04:00,16.99
MEGA IMAGE SRL,15.04.2026 04:00,14.99
PROFI,15.04.2026 04:00,4.99
SELGROS,15.04.2026 04:00,14.02
CARREFOUR,15.04.2026 20:00,17.05
CORA,15.04.2026 20:00,16.49
KAUFLAND,15.04.2026 20:00,16.99
MEGA IMAGE SRL,15.04.2026 20:00,14.99
PROFI,15.04.2026 20:00,9.99
CARREFOUR,16.04.2026 04:00,17.16
KAUFLAND,16.04.2026 04:00,16.99
MEGA IMAGE SRL,16.04.2026 04:00,14.99
