network,avg_price,min_price,max_price,stores
CORA,4.89,4.89,4.89,5
KAUFLAND,4.99,4.99,4.99,167
AUCHAN,5.24,3.97,5.29,29
CARREFOUR,5.77,5.49,7.09,46
SELGROS,7.43,7.43,7.43,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,5.49
KAUFLAND,13.04.2026 20:00,4.99
SELGROS,13.04.2026 20:00,7.43
AUCHAN,15.04.2026 04:00,5.29
CARREFOUR,15.04.2026 04:00,5.49
CORA,15.04.2026 04:00,4.89
KAUFLAND,15.04.2026 04:00,4.99
SELGROS,15.04.2026 04:00,7.43
AUCHAN,15.04.2026 20:00,5.24
CARREFOUR,15.04.2026 20:00,5.72
CORA,15.04.2026 20:00,4.89
KAUFLAND,15.04.2026 20:00,4.99
SELGROS,15.04.2026 20:00,7.43
CARREFOUR,16.04.2026 04:00,5.49
KAUFLAND,16.04.2026 04:00,4.99
SELGROS,16.04.2026 04:00,7.43
AUCHAN,16.04.2026 20:00,5.29
CARREFOUR,16.04.2026 20:00,5.49
CORA,16.04.2026 20:00,4.89
KAUFLAND,16.04.2026 20:00,4.99
SELGROS,16.04.2026 20:00,7.43
AUCHAN,17.04.2026 04:00,5.24
CARREFOUR,17.04.2026 04:00,5.77
CORA,17.04.2026 04:00,4.89
KAUFLAND,17.04.2026 04:00,4.99
SELGROS,17.04.2026 04:00,7.43
