network,avg_price,min_price,max_price,stores
PROFI,35.44,9.64,45.99,26
SELGROS,44.59,44.59,44.59,17
AUCHAN,52.0,52.0,52.0,1
CORA,57.79,57.79,57.79,5
CARREFOUR,58.85,58.85,58.85,90

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,58.85
SELGROS,13.04.2026 20:00,44.59
CARREFOUR,15.04.2026 04:00,58.85
CORA,15.04.2026 04:00,57.79
PROFI,15.04.2026 04:00,44.49
SELGROS,15.04.2026 04:00,44.59
AUCHAN,15.04.2026 20:00,52.0
CARREFOUR,15.04.2026 20:00,58.85
CORA,15.04.2026 20:00,57.79
PROFI,15.04.2026 20:00,34.37
SELGROS,15.04.2026 20:00,44.59
CARREFOUR,16.04.2026 04:00,58.85
SELGROS,16.04.2026 04:00,44.59
CARREFOUR,16.04.2026 20:00,58.85
CORA,16.04.2026 20:00,57.79
PROFI,16.04.2026 20:00,38.62
SELGROS,16.04.2026 20:00,44.59
AUCHAN,17.04.2026 04:00,52.0
CARREFOUR,17.04.2026 04:00,58.85
CORA,17.04.2026 04:00,57.79
PROFI,17.04.2026 04:00,35.44
SELGROS,17.04.2026 04:00,44.59
