network,avg_price,min_price,max_price,stores
PROFI,12.9,10.89,14.79,86
AUCHAN,16.99,16.99,16.99,22
CARREFOUR,17.09,17.05,17.09,40
CORA,17.19,17.19,17.19,5
MEGA IMAGE SRL,17.94,17.89,19.29,29

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,17.09
PROFI,13.04.2026 20:00,14.49
AUCHAN,15.04.2026 04:00,16.99
CARREFOUR,15.04.2026 04:00,17.09
CORA,15.04.2026 04:00,17.19
MEGA IMAGE SRL,15.04.2026 04:00,18.24
PROFI,15.04.2026 04:00,14.49
AUCHAN,15.04.2026 20:00,16.99
CARREFOUR,15.04.2026 20:00,17.09
CORA,15.04.2026 20:00,17.19
MEGA IMAGE SRL,15.04.2026 20:00,17.96
PROFI,15.04.2026 20:00,13.44
CARREFOUR,16.04.2026 04:00,17.08
MEGA IMAGE SRL,16.04.2026 04:00,17.89
PROFI,16.04.2026 04:00,14.49
AUCHAN,16.04.2026 20:00,16.99
CARREFOUR,16.04.2026 20:00,17.09
CORA,16.04.2026 20:00,17.19
MEGA IMAGE SRL,16.04.2026 20:00,17.96
PROFI,16.04.2026 20:00,13.81
AUCHAN,17.04.2026 04:00,16.99
CARREFOUR,17.04.2026 04:00,17.09
CORA,17.04.2026 04:00,17.19
MEGA IMAGE SRL,17.04.2026 04:00,17.94
PROFI,17.04.2026 04:00,12.9
