network,avg_price,min_price,max_price,stores
CORA,7.0,7.0,7.0,5
PENNY,20.99,20.99,20.99,43
AUCHAN,29.32,19.99,31.99,9
SELGROS,30.59,30.59,30.59,10
PROFI,31.78,20.99,31.99,149
KAUFLAND,34.49,34.49,34.49,165

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,34.49
PENNY,13.04.2026 20:00,20.99
PROFI,13.04.2026 20:00,31.99
SELGROS,13.04.2026 20:00,30.59
CORA,15.04.2026 04:00,7.0
KAUFLAND,15.04.2026 04:00,34.49
PROFI,15.04.2026 04:00,31.67
SELGROS,15.04.2026 04:00,30.59
AUCHAN,15.04.2026 20:00,29.32
CORA,15.04.2026 20:00,7.0
KAUFLAND,15.04.2026 20:00,34.49
PENNY,15.04.2026 20:00,20.99
PROFI,15.04.2026 20:00,31.82
SELGROS,15.04.2026 20:00,30.59
KAUFLAND,16.04.2026 04:00,34.49
PROFI,16.04.2026 04:00,31.59
SELGROS,16.04.2026 04:00,30.59
CORA,16.04.2026 20:00,7.0
KAUFLAND,16.04.2026 20:00,34.49
PROFI,16.04.2026 20:00,31.28
SELGROS,16.04.2026 20:00,30.59
AUCHAN,17.04.2026 04:00,29.32
CORA,17.04.2026 04:00,7.0
KAUFLAND,17.04.2026 04:00,34.49
PENNY,17.04.2026 04:00,20.99
PROFI,17.04.2026 04:00,31.78
SELGROS,17.04.2026 04:00,30.59
