network,avg_price,min_price,max_price,stores
CORA,2.89,2.89,2.89,5
PROFI,3.93,1.88,4.49,75
CARREFOUR,4.89,4.49,5.09,224

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,4.81
PROFI,13.04.2026 20:00,4.42
CARREFOUR,15.04.2026 04:00,4.74
CORA,15.04.2026 04:00,2.89
PROFI,15.04.2026 04:00,2.69
CARREFOUR,15.04.2026 20:00,4.9
CORA,15.04.2026 20:00,2.89
PROFI,15.04.2026 20:00,3.89
CARREFOUR,16.04.2026 04:00,4.88
CARREFOUR,16.04.2026 20:00,4.85
CORA,16.04.2026 20:00,2.89
PROFI,16.04.2026 20:00,3.87
CARREFOUR,17.04.2026 04:00,4.89
CORA,17.04.2026 04:00,2.89
PROFI,17.04.2026 04:00,3.93
