network,avg_price,min_price,max_price,stores
AUCHAN,23.33,18.69,24.99,30
CORA,23.39,23.39,23.39,5
KAUFLAND,23.89,23.89,23.89,167
PROFI,24.66,15.65,26.49,310
MEGA IMAGE SRL,25.19,24.74,25.19,241
CARREFOUR,25.22,24.99,28.99,207

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,24.99
KAUFLAND,13.04.2026 20:00,23.89
PROFI,13.04.2026 20:00,24.09
CARREFOUR,15.04.2026 04:00,25.43
CORA,15.04.2026 04:00,23.39
KAUFLAND,15.04.2026 04:00,23.89
MEGA IMAGE SRL,15.04.2026 04:00,25.61
PROFI,15.04.2026 04:00,24.41
AUCHAN,15.04.2026 20:00,23.05
CARREFOUR,15.04.2026 20:00,25.27
CORA,15.04.2026 20:00,23.39
KAUFLAND,15.04.2026 20:00,23.89
MEGA IMAGE SRL,15.04.2026 20:00,25.63
PROFI,15.04.2026 20:00,24.76
CARREFOUR,16.04.2026 04:00,25.49
KAUFLAND,16.04.2026 04:00,23.89
MEGA IMAGE SRL,16.04.2026 04:00,25.19
PROFI,16.04.2026 04:00,24.59
AUCHAN,16.04.2026 20:00,23.89
CARREFOUR,16.04.2026 20:00,25.34
CORA,16.04.2026 20:00,23.39
KAUFLAND,16.04.2026 20:00,23.89
MEGA IMAGE SRL,16.04.2026 20:00,25.19
PROFI,16.04.2026 20:00,24.85
AUCHAN,17.04.2026 04:00,23.33
CARREFOUR,17.04.2026 04:00,25.22
CORA,17.04.2026 04:00,23.39
KAUFLAND,17.04.2026 04:00,23.89
MEGA IMAGE SRL,17.04.2026 04:00,25.19
PROFI,17.04.2026 04:00,24.66
