network,avg_price,min_price,max_price,stores
CORA,3.27,3.19,3.29,5
SUPECO,3.54,3.49,4.49,22
SELGROS,4.05,4.05,4.05,4
AUCHAN,4.15,4.15,4.15,5
CARREFOUR,4.59,4.15,5.49,85
PROFI,4.67,3.79,4.99,664

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,4.4
PROFI,13.04.2026 20:00,4.78
SELGROS,13.04.2026 20:00,4.05
CARREFOUR,15.04.2026 04:00,4.3
CORA,15.04.2026 04:00,3.29
PROFI,15.04.2026 04:00,4.79
AUCHAN,15.04.2026 20:00,4.15
CARREFOUR,15.04.2026 20:00,4.56
CORA,15.04.2026 20:00,3.27
PROFI,15.04.2026 20:00,4.7
SELGROS,15.04.2026 20:00,4.05
SUPECO,15.04.2026 20:00,3.49
CARREFOUR,16.04.2026 04:00,4.52
PROFI,16.04.2026 04:00,4.75
SELGROS,16.04.2026 04:00,4.05
AUCHAN,16.04.2026 20:00,4.15
CARREFOUR,16.04.2026 20:00,4.45
CORA,16.04.2026 20:00,3.29
PROFI,16.04.2026 20:00,4.66
SELGROS,16.04.2026 20:00,4.05
AUCHAN,17.04.2026 04:00,4.15
CARREFOUR,17.04.2026 04:00,4.59
CORA,17.04.2026 04:00,3.27
PROFI,17.04.2026 04:00,4.67
SELGROS,17.04.2026 04:00,4.05
SUPECO,17.04.2026 04:00,3.54
