network,avg_price,min_price,max_price,stores
CARREFOUR,23.49,21.99,26.49,6
MEGA IMAGE SRL,23.99,23.99,23.99,3
KAUFLAND,24.59,24.59,24.59,5

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,22.81
CORA,15.04.2026 04:00,19.59
KAUFLAND,15.04.2026 04:00,24.59
MEGA IMAGE SRL,15.04.2026 04:00,23.99
PROFI,15.04.2026 04:00,24.19
SELGROS,15.04.2026 04:00,26.8
AUCHAN,15.04.2026 20:00,23.63
CARREFOUR,15.04.2026 20:00,23.39
CORA,15.04.2026 20:00,19.59
KAUFLAND,15.04.2026 20:00,24.59
MEGA IMAGE SRL,15.04.2026 20:00,23.99
PROFI,15.04.2026 20:00,21.06
CARREFOUR,16.04.2026 04:00,23.49
KAUFLAND,16.04.2026 04:00,24.59
MEGA IMAGE SRL,16.04.2026 04:00,23.99
