network,avg_price,min_price,max_price,stores
CORA,12.29,12.29,12.29,4
MEGA IMAGE SRL,13.31,13.29,14.19,119
AUCHAN,13.69,13.69,13.69,1
SELGROS,13.91,13.91,13.91,5
KAUFLAND,14.49,14.49,14.49,28
CARREFOUR,14.76,13.39,17.99,57
PENNY,15.39,15.39,15.39,2
PROFI,16.16,13.49,17.29,123

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,13.69
CARREFOUR,15.04.2026 04:00,14.21
KAUFLAND,15.04.2026 04:00,14.49
MEGA IMAGE SRL,15.04.2026 04:00,13.29
PENNY,15.04.2026 04:00,11.99
PROFI,15.04.2026 04:00,15.49
AUCHAN,15.04.2026 20:00,13.69
CARREFOUR,15.04.2026 20:00,14.74
CORA,15.04.2026 20:00,12.29
KAUFLAND,15.04.2026 20:00,14.49
MEGA IMAGE SRL,15.04.2026 20:00,13.3
PENNY,15.04.2026 20:00,15.39
PROFI,15.04.2026 20:00,16.12
SELGROS,15.04.2026 20:00,13.91
AUCHAN,17.04.2026 04:00,13.69
CARREFOUR,17.04.2026 04:00,14.74
CORA,17.04.2026 04:00,12.29
KAUFLAND,17.04.2026 04:00,14.49
MEGA IMAGE SRL,17.04.2026 04:00,13.3
PENNY,17.04.2026 04:00,15.39
PROFI,17.04.2026 04:00,16.12
SELGROS,17.04.2026 04:00,13.91
AUCHAN,17.04.2026 20:00,13.69
CARREFOUR,17.04.2026 20:00,14.77
CORA,17.04.2026 20:00,12.29
KAUFLAND,17.04.2026 20:00,14.49
MEGA IMAGE SRL,17.04.2026 20:00,13.3
PENNY,17.04.2026 20:00,15.39
PROFI,17.04.2026 20:00,16.13
SELGROS,17.04.2026 20:00,13.91
AUCHAN,18.04.2026 20:00,13.69
CARREFOUR,18.04.2026 20:00,14.77
CORA,18.04.2026 20:00,12.29
KAUFLAND,18.04.2026 20:00,14.49
MEGA IMAGE SRL,18.04.2026 20:00,13.3
PENNY,18.04.2026 20:00,15.39
PROFI,18.04.2026 20:00,16.13
SELGROS,18.04.2026 20:00,13.91
AUCHAN,19.04.2026 20:00,13.69
CARREFOUR,19.04.2026 20:00,14.77
CORA,19.04.2026 20:00,12.29
KAUFLAND,19.04.2026 20:00,14.49
MEGA IMAGE SRL,19.04.2026 20:00,13.3
PENNY,19.04.2026 20:00,15.39
PROFI,19.04.2026 20:00,16.14
SELGROS,19.04.2026 20:00,13.91
AUCHAN,20.04.2026 20:00,13.69
CARREFOUR,20.04.2026 20:00,14.75
CORA,20.04.2026 20:00,12.29
KAUFLAND,20.04.2026 20:00,14.49
MEGA IMAGE SRL,20.04.2026 20:00,13.3
PENNY,20.04.2026 20:00,15.39
PROFI,20.04.2026 20:00,16.13
SELGROS,20.04.2026 20:00,13.91
AUCHAN,21.04.2026 20:00,13.69
CARREFOUR,21.04.2026 20:00,14.75
CORA,21.04.2026 20:00,12.29
KAUFLAND,21.04.2026 20:00,14.49
MEGA IMAGE SRL,21.04.2026 20:00,13.3
PENNY,21.04.2026 20:00,15.39
PROFI,21.04.2026 20:00,16.14
SELGROS,21.04.2026 20:00,13.91
AUCHAN,22.04.2026 20:00,13.69
CARREFOUR,22.04.2026 20:00,14.74
CORA,22.04.2026 20:00,12.29
KAUFLAND,22.04.2026 20:00,14.49
MEGA IMAGE SRL,22.04.2026 20:00,13.31
PENNY,22.04.2026 20:00,15.39
PROFI,22.04.2026 20:00,16.16
SELGROS,22.04.2026 20:00,13.91
AUCHAN,23.04.2026 20:00,13.69
CARREFOUR,23.04.2026 20:00,14.76
CORA,23.04.2026 20:00,12.29
KAUFLAND,23.04.2026 20:00,14.49
MEGA IMAGE SRL,23.04.2026 20:00,13.31
PENNY,23.04.2026 20:00,15.39
PROFI,23.04.2026 20:00,16.16
SELGROS,23.04.2026 20:00,13.91
