network,avg_price,min_price,max_price,stores
MEGA IMAGE SRL,9.89,9.59,12.72,256
CORA,10.49,10.49,10.49,5
PENNY,10.99,10.99,10.99,101
SELGROS,11.33,11.33,11.33,14
KAUFLAND,11.69,11.69,11.69,90
PROFI,11.69,11.69,11.69,557

network,price_date,avg_price
PROFI,13.04.2026 20:00,11.69
SELGROS,13.04.2026 20:00,11.33
AUCHAN,15.04.2026 04:00,9.59
CORA,15.04.2026 04:00,10.49
KAUFLAND,15.04.2026 04:00,11.69
MEGA IMAGE SRL,15.04.2026 04:00,9.74
PENNY,15.04.2026 04:00,10.99
PROFI,15.04.2026 04:00,11.69
SELGROS,15.04.2026 04:00,11.33
CORA,15.04.2026 20:00,10.49
KAUFLAND,15.04.2026 20:00,11.69
MEGA IMAGE SRL,15.04.2026 20:00,9.77
PENNY,15.04.2026 20:00,10.99
PROFI,15.04.2026 20:00,11.69
SELGROS,15.04.2026 20:00,11.33
KAUFLAND,16.04.2026 04:00,11.69
MEGA IMAGE SRL,16.04.2026 04:00,9.65
PROFI,16.04.2026 04:00,11.69
SELGROS,16.04.2026 04:00,11.33
AUCHAN,16.04.2026 20:00,9.59
CORA,16.04.2026 20:00,10.49
KAUFLAND,16.04.2026 20:00,11.69
MEGA IMAGE SRL,16.04.2026 20:00,9.7
PENNY,16.04.2026 20:00,10.99
PROFI,16.04.2026 20:00,11.69
SELGROS,16.04.2026 20:00,11.33
CORA,17.04.2026 04:00,10.49
KAUFLAND,17.04.2026 04:00,11.69
MEGA IMAGE SRL,17.04.2026 04:00,9.89
PENNY,17.04.2026 04:00,10.99
PROFI,17.04.2026 04:00,11.69
SELGROS,17.04.2026 04:00,11.33
