network,avg_price,min_price,max_price,stores
CORA,3.49,3.49,3.49,5
CARREFOUR,3.69,3.69,3.75,38
PROFI,4.0,0.97,4.75,511
KAUFLAND,4.09,4.09,4.09,166
AUCHAN,4.52,3.99,13.59,18
SELGROS,7.92,5.35,11.6,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,3.69
KAUFLAND,13.04.2026 20:00,4.09
PROFI,13.04.2026 20:00,3.85
SELGROS,13.04.2026 20:00,5.35
AUCHAN,15.04.2026 04:00,3.99
CARREFOUR,15.04.2026 04:00,3.71
CORA,15.04.2026 04:00,3.49
KAUFLAND,15.04.2026 04:00,4.09
PROFI,15.04.2026 04:00,4.12
SELGROS,15.04.2026 04:00,11.6
AUCHAN,15.04.2026 20:00,3.99
CARREFOUR,15.04.2026 20:00,3.69
CORA,15.04.2026 20:00,3.49
KAUFLAND,15.04.2026 20:00,4.09
PROFI,15.04.2026 20:00,4.01
SELGROS,15.04.2026 20:00,7.19
CARREFOUR,16.04.2026 04:00,3.72
KAUFLAND,16.04.2026 04:00,4.09
PROFI,16.04.2026 04:00,4.09
SELGROS,16.04.2026 04:00,11.6
AUCHAN,16.04.2026 20:00,3.99
CARREFOUR,16.04.2026 20:00,3.71
CORA,16.04.2026 20:00,3.49
KAUFLAND,16.04.2026 20:00,4.09
PROFI,16.04.2026 20:00,4.11
SELGROS,16.04.2026 20:00,8.47
AUCHAN,17.04.2026 04:00,4.52
CARREFOUR,17.04.2026 04:00,3.69
CORA,17.04.2026 04:00,3.49
KAUFLAND,17.04.2026 04:00,4.09
PROFI,17.04.2026 04:00,4.0
SELGROS,17.04.2026 04:00,7.92
