network,avg_price,min_price,max_price,stores
CORA,2.35,2.35,2.35,4
SELGROS,2.35,2.35,2.35,5
AUCHAN,2.39,2.39,2.39,9
MEGA IMAGE SRL,2.6,2.59,2.69,123
KAUFLAND,2.69,2.69,2.69,29
CARREFOUR,2.91,2.59,3.29,49
PROFI,3.54,3.49,3.79,147

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,2.39
CARREFOUR,15.04.2026 04:00,2.83
KAUFLAND,15.04.2026 04:00,2.65
MEGA IMAGE SRL,15.04.2026 04:00,2.69
PROFI,15.04.2026 04:00,3.49
AUCHAN,15.04.2026 20:00,2.39
CARREFOUR,15.04.2026 20:00,2.91
CORA,15.04.2026 20:00,2.35
KAUFLAND,15.04.2026 20:00,2.65
MEGA IMAGE SRL,15.04.2026 20:00,2.7
PROFI,15.04.2026 20:00,3.54
SELGROS,15.04.2026 20:00,2.35
AUCHAN,17.04.2026 04:00,2.39
CARREFOUR,17.04.2026 04:00,2.91
CORA,17.04.2026 04:00,2.35
KAUFLAND,17.04.2026 04:00,2.65
MEGA IMAGE SRL,17.04.2026 04:00,2.7
PROFI,17.04.2026 04:00,3.53
SELGROS,17.04.2026 04:00,2.35
AUCHAN,17.04.2026 20:00,2.39
CARREFOUR,17.04.2026 20:00,2.91
CORA,17.04.2026 20:00,2.35
KAUFLAND,17.04.2026 20:00,2.65
MEGA IMAGE SRL,17.04.2026 20:00,2.7
PROFI,17.04.2026 20:00,3.54
SELGROS,17.04.2026 20:00,2.35
AUCHAN,18.04.2026 20:00,2.39
CARREFOUR,18.04.2026 20:00,2.91
CORA,18.04.2026 20:00,2.35
KAUFLAND,18.04.2026 20:00,2.65
MEGA IMAGE SRL,18.04.2026 20:00,2.7
PROFI,18.04.2026 20:00,3.53
SELGROS,18.04.2026 20:00,2.35
AUCHAN,19.04.2026 20:00,2.39
CARREFOUR,19.04.2026 20:00,2.91
CORA,19.04.2026 20:00,2.35
KAUFLAND,19.04.2026 20:00,2.65
MEGA IMAGE SRL,19.04.2026 20:00,2.7
PROFI,19.04.2026 20:00,3.54
SELGROS,19.04.2026 20:00,2.35
AUCHAN,20.04.2026 20:00,2.39
CARREFOUR,20.04.2026 20:00,2.91
CORA,20.04.2026 20:00,2.35
KAUFLAND,20.04.2026 20:00,2.65
MEGA IMAGE SRL,20.04.2026 20:00,2.7
PROFI,20.04.2026 20:00,3.53
SELGROS,20.04.2026 20:00,2.35
AUCHAN,21.04.2026 20:00,2.39
CARREFOUR,21.04.2026 20:00,2.91
CORA,21.04.2026 20:00,2.35
KAUFLAND,21.04.2026 20:00,2.65
MEGA IMAGE SRL,21.04.2026 20:00,2.7
PROFI,21.04.2026 20:00,3.54
SELGROS,21.04.2026 20:00,2.35
AUCHAN,22.04.2026 20:00,2.39
CARREFOUR,22.04.2026 20:00,2.9
CORA,22.04.2026 20:00,2.35
KAUFLAND,22.04.2026 20:00,2.69
MEGA IMAGE SRL,22.04.2026 20:00,2.61
PROFI,22.04.2026 20:00,3.54
SELGROS,22.04.2026 20:00,2.35
AUCHAN,23.04.2026 20:00,2.39
CARREFOUR,23.04.2026 20:00,2.91
CORA,23.04.2026 20:00,2.35
KAUFLAND,23.04.2026 20:00,2.69
MEGA IMAGE SRL,23.04.2026 20:00,2.6
PROFI,23.04.2026 20:00,3.54
SELGROS,23.04.2026 20:00,2.35
AUCHAN,24.04.2026 20:00,2.39
CARREFOUR,24.04.2026 20:00,2.91
CORA,24.04.2026 20:00,2.35
KAUFLAND,24.04.2026 20:00,2.69
MEGA IMAGE SRL,24.04.2026 20:00,2.6
PROFI,24.04.2026 20:00,3.54
SELGROS,24.04.2026 20:00,2.35
AUCHAN,25.04.2026 20:00,2.39
CARREFOUR,25.04.2026 20:00,2.91
CORA,25.04.2026 20:00,2.35
KAUFLAND,25.04.2026 20:00,2.69
MEGA IMAGE SRL,25.04.2026 20:00,2.6
PROFI,25.04.2026 20:00,3.54
SELGROS,25.04.2026 20:00,2.35
