network,avg_price,min_price,max_price,stores
KAUFLAND,21.49,21.49,21.49,4
MEGA IMAGE SRL,22.59,22.59,22.59,4
CARREFOUR,22.99,21.49,24.49,2

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,21.29
CARREFOUR,15.04.2026 04:00,21.59
CORA,15.04.2026 04:00,17.69
KAUFLAND,15.04.2026 04:00,21.49
MEGA IMAGE SRL,15.04.2026 04:00,22.59
AUCHAN,15.04.2026 20:00,21.29
CARREFOUR,15.04.2026 20:00,21.99
CORA,15.04.2026 20:00,17.69
KAUFLAND,15.04.2026 20:00,21.49
MEGA IMAGE SRL,15.04.2026 20:00,22.59
CARREFOUR,16.04.2026 04:00,22.99
KAUFLAND,16.04.2026 04:00,21.49
MEGA IMAGE SRL,16.04.2026 04:00,22.59
