network,avg_price,min_price,max_price,stores
PROFI,20.7,6.47,26.39,4
CORA,25.83,25.19,25.99,5
AUCHAN,31.67,31.59,31.68,11
KAUFLAND,31.69,31.69,31.69,165
MEGA IMAGE SRL,31.71,31.69,34.19,100
CARREFOUR,32.28,30.49,33.49,99

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,31.49
KAUFLAND,13.04.2026 20:00,31.69
AUCHAN,15.04.2026 04:00,31.68
CARREFOUR,15.04.2026 04:00,30.64
CORA,15.04.2026 04:00,25.99
KAUFLAND,15.04.2026 04:00,31.69
MEGA IMAGE SRL,15.04.2026 04:00,31.69
AUCHAN,15.04.2026 20:00,31.67
CARREFOUR,15.04.2026 20:00,32.19
CORA,15.04.2026 20:00,25.86
KAUFLAND,15.04.2026 20:00,31.69
MEGA IMAGE SRL,15.04.2026 20:00,31.71
PROFI,15.04.2026 20:00,24.97
CARREFOUR,16.04.2026 04:00,33.22
KAUFLAND,16.04.2026 04:00,31.69
MEGA IMAGE SRL,16.04.2026 04:00,31.69
AUCHAN,16.04.2026 20:00,31.68
CARREFOUR,16.04.2026 20:00,32.38
CORA,16.04.2026 20:00,25.99
KAUFLAND,16.04.2026 20:00,31.69
MEGA IMAGE SRL,16.04.2026 20:00,31.69
AUCHAN,17.04.2026 04:00,31.67
CARREFOUR,17.04.2026 04:00,32.28
CORA,17.04.2026 04:00,25.83
KAUFLAND,17.04.2026 04:00,31.69
MEGA IMAGE SRL,17.04.2026 04:00,31.71
PROFI,17.04.2026 04:00,20.7
