network,avg_price,min_price,max_price,stores
CARREFOUR,3.29,3.29,3.29,37
PROFI,3.91,3.65,3.99,4
CORA,4.09,4.09,4.09,5

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,3.29
CARREFOUR,15.04.2026 04:00,3.29
CORA,15.04.2026 04:00,4.09
CARREFOUR,15.04.2026 20:00,3.29
CORA,15.04.2026 20:00,4.09
PROFI,15.04.2026 20:00,3.99
CARREFOUR,16.04.2026 04:00,3.29
CARREFOUR,16.04.2026 20:00,3.29
CORA,16.04.2026 20:00,4.09
CARREFOUR,17.04.2026 04:00,3.29
CORA,17.04.2026 04:00,4.09
PROFI,17.04.2026 04:00,3.91
