network,avg_price,min_price,max_price,stores
PENNY,2.83,2.83,2.83,9
AUCHAN,4.35,4.35,4.35,5
CORA,4.61,4.29,4.69,5
KAUFLAND,5.07,5.07,5.07,167
CARREFOUR,5.51,4.79,6.39,271
PROFI,5.51,4.99,5.89,771

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,5.51
KAUFLAND,13.04.2026 20:00,5.07
PROFI,13.04.2026 20:00,5.53
AUCHAN,15.04.2026 04:00,4.35
CARREFOUR,15.04.2026 04:00,5.36
CORA,15.04.2026 04:00,4.69
KAUFLAND,15.04.2026 04:00,5.07
PROFI,15.04.2026 04:00,5.56
AUCHAN,15.04.2026 20:00,4.35
CARREFOUR,15.04.2026 20:00,5.55
CORA,15.04.2026 20:00,4.62
KAUFLAND,15.04.2026 20:00,5.07
PENNY,15.04.2026 20:00,2.83
PROFI,15.04.2026 20:00,5.53
CARREFOUR,16.04.2026 04:00,5.55
KAUFLAND,16.04.2026 04:00,5.07
PROFI,16.04.2026 04:00,5.49
AUCHAN,16.04.2026 20:00,4.35
CARREFOUR,16.04.2026 20:00,5.36
CORA,16.04.2026 20:00,4.69
KAUFLAND,16.04.2026 20:00,5.07
PROFI,16.04.2026 20:00,5.48
AUCHAN,17.04.2026 04:00,4.35
CARREFOUR,17.04.2026 04:00,5.51
CORA,17.04.2026 04:00,4.61
KAUFLAND,17.04.2026 04:00,5.07
PENNY,17.04.2026 04:00,2.83
PROFI,17.04.2026 04:00,5.51
