network,avg_price,min_price,max_price,stores
KAUFLAND,2.99,2.99,2.99,5
MEGA IMAGE SRL,3.82,3.79,3.99,12
PROFI,4.11,3.99,4.19,5
CARREFOUR,4.16,3.59,4.49,6

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,3.98
CORA,15.04.2026 04:00,3.59
KAUFLAND,15.04.2026 04:00,3.99
MEGA IMAGE SRL,15.04.2026 04:00,3.83
PENNY,15.04.2026 04:00,3.59
PROFI,15.04.2026 04:00,4.14
SUPECO,15.04.2026 04:00,3.69
AUCHAN,15.04.2026 20:00,4.19
CARREFOUR,15.04.2026 20:00,4.12
CORA,15.04.2026 20:00,3.59
KAUFLAND,15.04.2026 20:00,2.99
MEGA IMAGE SRL,15.04.2026 20:00,3.8
PENNY,15.04.2026 20:00,3.59
PROFI,15.04.2026 20:00,4.07
CARREFOUR,16.04.2026 04:00,4.16
KAUFLAND,16.04.2026 04:00,2.99
MEGA IMAGE SRL,16.04.2026 04:00,3.82
PROFI,16.04.2026 04:00,4.11
