network,avg_price,min_price,max_price,stores
SUPECO,7.09,7.09,7.09,8
CARREFOUR,8.74,7.59,9.89,80
PROFI,9.39,8.75,9.69,85
AUCHAN,9.53,7.49,9.69,15

network,price_date,avg_price
PROFI,13.04.2026 20:00,9.07
AUCHAN,15.04.2026 04:00,9.69
AUCHAN,15.04.2026 20:00,9.55
CARREFOUR,15.04.2026 20:00,8.89
PROFI,15.04.2026 20:00,9.42
SUPECO,15.04.2026 20:00,7.09
AUCHAN,16.04.2026 04:00,9.69
AUCHAN,16.04.2026 20:00,9.69
AUCHAN,17.04.2026 04:00,9.53
CARREFOUR,17.04.2026 04:00,8.74
PROFI,17.04.2026 04:00,9.39
SUPECO,17.04.2026 04:00,7.09
