network,avg_price,min_price,max_price,stores
CORA,0.99,0.99,0.99,1
AUCHAN,1.0,1.0,1.0,2
KAUFLAND,1.0,1.0,1.0,9
SUPECO,1.01,1.01,1.01,1
CARREFOUR,1.1,1.0,1.34,11
MEGA IMAGE SRL,1.1,1.09,1.19,40
PROFI,1.25,1.25,1.25,15

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,1.0
CARREFOUR,15.04.2026 04:00,1.07
CORA,15.04.2026 04:00,0.99
KAUFLAND,15.04.2026 04:00,1.0
LIDL DISCOUNT SRL,15.04.2026 04:00,0.99
MEGA IMAGE SRL,15.04.2026 04:00,1.1
PENNY,15.04.2026 04:00,18.06
PROFI,15.04.2026 04:00,1.25
SUPECO,15.04.2026 04:00,1.01
AUCHAN,15.04.2026 20:00,0.97
CARREFOUR,15.04.2026 20:00,1.15
CORA,15.04.2026 20:00,23.49
KAUFLAND,15.04.2026 20:00,1.0
MEGA IMAGE SRL,15.04.2026 20:00,1.09
PROFI,15.04.2026 20:00,1.25
AUCHAN,16.04.2026 04:00,1.0
CARREFOUR,16.04.2026 04:00,1.1
CORA,16.04.2026 04:00,0.99
KAUFLAND,16.04.2026 04:00,1.0
MEGA IMAGE SRL,16.04.2026 04:00,1.1
PROFI,16.04.2026 04:00,1.25
SUPECO,16.04.2026 04:00,1.01
