network,avg_price,min_price,max_price,stores
CORA,7.47,7.39,7.49,5
SELGROS,8.14,8.14,8.14,17
AUCHAN,8.49,8.49,8.49,16
KAUFLAND,8.49,8.49,8.49,167
PROFI,8.53,7.99,8.85,675
CARREFOUR,8.8,8.49,9.39,88

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,8.49
KAUFLAND,13.04.2026 20:00,8.49
PROFI,13.04.2026 20:00,8.35
SELGROS,13.04.2026 20:00,8.14
AUCHAN,15.04.2026 04:00,8.49
CARREFOUR,15.04.2026 04:00,8.49
CORA,15.04.2026 04:00,7.49
KAUFLAND,15.04.2026 04:00,8.49
PROFI,15.04.2026 04:00,8.6
SELGROS,15.04.2026 04:00,8.14
AUCHAN,15.04.2026 20:00,8.49
CARREFOUR,15.04.2026 20:00,8.77
CORA,15.04.2026 20:00,7.47
KAUFLAND,15.04.2026 20:00,8.49
PROFI,15.04.2026 20:00,8.53
SELGROS,15.04.2026 20:00,8.14
CARREFOUR,16.04.2026 04:00,8.69
CORA,16.04.2026 04:00,7.49
KAUFLAND,16.04.2026 04:00,8.49
PROFI,16.04.2026 04:00,8.55
SELGROS,16.04.2026 04:00,8.14
AUCHAN,16.04.2026 20:00,8.49
CARREFOUR,16.04.2026 20:00,8.63
CORA,16.04.2026 20:00,7.49
KAUFLAND,16.04.2026 20:00,8.49
PROFI,16.04.2026 20:00,8.52
SELGROS,16.04.2026 20:00,8.14
AUCHAN,17.04.2026 04:00,8.49
CARREFOUR,17.04.2026 04:00,8.8
CORA,17.04.2026 04:00,7.47
KAUFLAND,17.04.2026 04:00,8.49
PROFI,17.04.2026 04:00,8.53
SELGROS,17.04.2026 04:00,8.14
