network,avg_price,min_price,max_price,stores
PROFI,6.99,6.99,6.99,1
CORA,7.69,7.69,7.69,1
MEGA IMAGE SRL,8.19,8.19,8.19,35
KAUFLAND,8.59,8.59,8.59,9

network,price_date,avg_price
CORA,15.04.2026 04:00,7.69
KAUFLAND,15.04.2026 04:00,8.59
MEGA IMAGE SRL,15.04.2026 04:00,8.19
PROFI,15.04.2026 04:00,6.99
CORA,15.04.2026 20:00,7.69
KAUFLAND,15.04.2026 20:00,8.59
MEGA IMAGE SRL,15.04.2026 20:00,8.19
PROFI,15.04.2026 20:00,7.49
CORA,16.04.2026 04:00,7.69
KAUFLAND,16.04.2026 04:00,8.59
MEGA IMAGE SRL,16.04.2026 04:00,8.19
PROFI,16.04.2026 04:00,6.99
