network,avg_price,min_price,max_price,stores
AUCHAN,7.15,7.15,7.15,1
MEGA IMAGE SRL,7.29,7.29,7.29,40
CORA,7.29,7.29,7.29,1
CARREFOUR,7.57,7.15,8.29,4

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,7.15
CARREFOUR,15.04.2026 04:00,7.46
CORA,15.04.2026 04:00,7.29
MEGA IMAGE SRL,15.04.2026 04:00,7.29
AUCHAN,15.04.2026 20:00,7.15
CARREFOUR,15.04.2026 20:00,7.64
CORA,15.04.2026 20:00,7.29
MEGA IMAGE SRL,15.04.2026 20:00,7.29
AUCHAN,16.04.2026 04:00,7.15
CARREFOUR,16.04.2026 04:00,7.57
CORA,16.04.2026 04:00,7.29
MEGA IMAGE SRL,16.04.2026 04:00,7.29
