network,avg_price,min_price,max_price,stores
CORA,19.49,19.49,19.49,1
AUCHAN,19.49,19.49,19.49,1
KAUFLAND,20.25,20.25,20.25,9
CARREFOUR,20.49,20.49,20.49,2
SELGROS,25.19,25.19,25.19,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,19.49
CARREFOUR,15.04.2026 04:00,20.59
CORA,15.04.2026 04:00,19.49
KAUFLAND,15.04.2026 04:00,20.25
SELGROS,15.04.2026 04:00,25.19
AUCHAN,15.04.2026 20:00,19.49
CARREFOUR,15.04.2026 20:00,20.49
CORA,15.04.2026 20:00,19.49
KAUFLAND,15.04.2026 20:00,20.25
AUCHAN,16.04.2026 04:00,19.49
CARREFOUR,16.04.2026 04:00,20.49
CORA,16.04.2026 04:00,19.49
KAUFLAND,16.04.2026 04:00,20.25
SELGROS,16.04.2026 04:00,25.19
