network,avg_price,min_price,max_price,stores
CARREFOUR,16.7,13.99,22.99,262
SELGROS,16.75,16.75,16.75,15
SUPECO,17.19,17.19,17.19,18
CORA,18.99,18.99,18.99,5
PROFI,19.04,18.99,22.69,720
AUCHAN,19.29,11.54,20.49,22
MEGA IMAGE SRL,19.8,12.89,21.19,281
KAUFLAND,20.49,20.49,20.49,167

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,21.99
KAUFLAND,13.04.2026 20:00,20.49
PROFI,13.04.2026 20:00,18.99
SELGROS,13.04.2026 20:00,16.75
AUCHAN,15.04.2026 04:00,20.49
CARREFOUR,15.04.2026 04:00,14.88
CORA,15.04.2026 04:00,18.99
KAUFLAND,15.04.2026 04:00,20.49
MEGA IMAGE SRL,15.04.2026 04:00,19.99
PROFI,15.04.2026 04:00,19.34
SUPECO,15.04.2026 04:00,17.19
AUCHAN,15.04.2026 20:00,19.16
CARREFOUR,15.04.2026 20:00,16.97
CORA,15.04.2026 20:00,18.99
KAUFLAND,15.04.2026 20:00,20.49
MEGA IMAGE SRL,15.04.2026 20:00,19.7
PROFI,15.04.2026 20:00,19.06
SELGROS,15.04.2026 20:00,16.75
SUPECO,15.04.2026 20:00,17.19
AUCHAN,16.04.2026 04:00,20.49
CARREFOUR,16.04.2026 04:00,14.66
CORA,16.04.2026 04:00,18.99
KAUFLAND,16.04.2026 04:00,20.49
MEGA IMAGE SRL,16.04.2026 04:00,19.84
PROFI,16.04.2026 04:00,19.32
SELGROS,16.04.2026 04:00,16.75
SUPECO,16.04.2026 04:00,17.19
AUCHAN,16.04.2026 20:00,20.49
CARREFOUR,16.04.2026 20:00,14.66
CORA,16.04.2026 20:00,18.99
KAUFLAND,16.04.2026 20:00,20.49
MEGA IMAGE SRL,16.04.2026 20:00,20.09
PROFI,16.04.2026 20:00,19.4
SELGROS,16.04.2026 20:00,16.75
SUPECO,16.04.2026 20:00,17.19
AUCHAN,17.04.2026 04:00,19.29
CARREFOUR,17.04.2026 04:00,16.7
CORA,17.04.2026 04:00,18.99
KAUFLAND,17.04.2026 04:00,20.49
MEGA IMAGE SRL,17.04.2026 04:00,19.8
PROFI,17.04.2026 04:00,19.04
SELGROS,17.04.2026 04:00,16.75
SUPECO,17.04.2026 04:00,17.19
