network,avg_price,min_price,max_price,stores
CARREFOUR,3.89,3.89,3.89,38
AUCHAN,3.9,3.89,3.95,20
CORA,3.99,3.99,3.99,5
PROFI,4.87,4.35,5.15,170
SELGROS,4.94,4.94,4.94,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,3.89
PROFI,13.04.2026 20:00,4.79
SELGROS,13.04.2026 20:00,4.94
AUCHAN,15.04.2026 04:00,3.89
CARREFOUR,15.04.2026 04:00,3.89
CORA,15.04.2026 04:00,3.99
PROFI,15.04.2026 04:00,4.89
SELGROS,15.04.2026 04:00,4.94
AUCHAN,15.04.2026 20:00,3.9
CARREFOUR,15.04.2026 20:00,3.89
CORA,15.04.2026 20:00,3.99
PROFI,15.04.2026 20:00,4.9
SELGROS,15.04.2026 20:00,4.94
AUCHAN,16.04.2026 04:00,3.89
CARREFOUR,16.04.2026 04:00,3.89
CORA,16.04.2026 04:00,3.99
PROFI,16.04.2026 04:00,4.88
SELGROS,16.04.2026 04:00,4.94
AUCHAN,16.04.2026 20:00,3.89
CARREFOUR,16.04.2026 20:00,3.89
CORA,16.04.2026 20:00,3.99
PROFI,16.04.2026 20:00,4.86
SELGROS,16.04.2026 20:00,4.94
AUCHAN,17.04.2026 04:00,3.9
CARREFOUR,17.04.2026 04:00,3.89
CORA,17.04.2026 04:00,3.99
PROFI,17.04.2026 04:00,4.87
SELGROS,17.04.2026 04:00,4.94
