network,avg_price,min_price,max_price,stores
CORA,8.79,8.79,8.79,5
PROFI,12.05,7.65,12.49,56
AUCHAN,13.22,9.89,13.99,32
CARREFOUR,13.99,13.99,13.99,38

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,13.99
PROFI,13.04.2026 20:00,12.15
AUCHAN,15.04.2026 04:00,13.99
CARREFOUR,15.04.2026 04:00,13.99
CORA,15.04.2026 04:00,8.79
AUCHAN,15.04.2026 20:00,13.22
CARREFOUR,15.04.2026 20:00,13.99
CORA,15.04.2026 20:00,8.79
PROFI,15.04.2026 20:00,12.13
AUCHAN,16.04.2026 04:00,13.99
CARREFOUR,16.04.2026 04:00,13.99
CORA,16.04.2026 04:00,8.79
AUCHAN,16.04.2026 20:00,13.99
CARREFOUR,16.04.2026 20:00,13.99
CORA,16.04.2026 20:00,8.79
PROFI,16.04.2026 20:00,12.29
AUCHAN,17.04.2026 04:00,13.22
CARREFOUR,17.04.2026 04:00,13.99
CORA,17.04.2026 04:00,8.79
PROFI,17.04.2026 04:00,12.05
