network,avg_price,min_price,max_price,stores
PENNY,20.99,20.99,20.99,2
CORA,30.89,30.89,30.89,5
PROFI,31.99,31.99,31.99,5
SELGROS,33.14,33.14,33.14,16
AUCHAN,38.37,30.49,41.99,34
KAUFLAND,39.99,39.99,39.99,167
MEGA IMAGE SRL,41.17,39.99,43.19,283
CARREFOUR,43.5,38.99,45.99,275

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,42.99
KAUFLAND,13.04.2026 20:00,39.99
SELGROS,13.04.2026 20:00,33.14
AUCHAN,15.04.2026 04:00,39.99
CARREFOUR,15.04.2026 04:00,42.44
CORA,15.04.2026 04:00,30.89
KAUFLAND,15.04.2026 04:00,39.99
MEGA IMAGE SRL,15.04.2026 04:00,40.47
PROFI,15.04.2026 04:00,31.99
SELGROS,15.04.2026 04:00,33.14
AUCHAN,15.04.2026 20:00,38.32
CARREFOUR,15.04.2026 20:00,43.53
CORA,15.04.2026 20:00,30.89
KAUFLAND,15.04.2026 20:00,39.99
MEGA IMAGE SRL,15.04.2026 20:00,40.73
PENNY,15.04.2026 20:00,20.99
PROFI,15.04.2026 20:00,31.99
SELGROS,15.04.2026 20:00,33.14
AUCHAN,16.04.2026 04:00,39.99
CARREFOUR,16.04.2026 04:00,43.07
CORA,16.04.2026 04:00,30.89
KAUFLAND,16.04.2026 04:00,39.99
MEGA IMAGE SRL,16.04.2026 04:00,40.12
PROFI,16.04.2026 04:00,31.99
SELGROS,16.04.2026 04:00,33.14
AUCHAN,16.04.2026 20:00,39.99
CARREFOUR,16.04.2026 20:00,42.68
CORA,16.04.2026 20:00,30.89
KAUFLAND,16.04.2026 20:00,39.99
MEGA IMAGE SRL,16.04.2026 20:00,40.41
PROFI,16.04.2026 20:00,31.99
SELGROS,16.04.2026 20:00,33.14
AUCHAN,17.04.2026 04:00,38.37
CARREFOUR,17.04.2026 04:00,43.5
CORA,17.04.2026 04:00,30.89
KAUFLAND,17.04.2026 04:00,39.99
MEGA IMAGE SRL,17.04.2026 04:00,41.17
PENNY,17.04.2026 04:00,20.99
PROFI,17.04.2026 04:00,31.99
SELGROS,17.04.2026 04:00,33.14
