network,avg_price,min_price,max_price,stores
CORA,11.81,11.49,11.89,5
AUCHAN,12.83,8.89,12.99,25
SELGROS,13.13,13.13,13.13,17
CARREFOUR,15.11,12.99,16.49,207
PROFI,15.47,13.99,15.99,419

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,12.99
PROFI,13.04.2026 20:00,15.2
SELGROS,13.04.2026 20:00,13.13
AUCHAN,15.04.2026 04:00,12.99
CARREFOUR,15.04.2026 04:00,14.35
CORA,15.04.2026 04:00,11.89
PROFI,15.04.2026 04:00,15.37
SELGROS,15.04.2026 04:00,13.13
AUCHAN,15.04.2026 20:00,12.82
CARREFOUR,15.04.2026 20:00,15.12
CORA,15.04.2026 20:00,11.82
PROFI,15.04.2026 20:00,15.5
SELGROS,15.04.2026 20:00,13.13
AUCHAN,16.04.2026 04:00,12.99
CARREFOUR,16.04.2026 04:00,15.05
CORA,16.04.2026 04:00,11.89
PROFI,16.04.2026 04:00,15.39
SELGROS,16.04.2026 04:00,13.13
AUCHAN,16.04.2026 20:00,12.99
CARREFOUR,16.04.2026 20:00,14.91
CORA,16.04.2026 20:00,11.89
PROFI,16.04.2026 20:00,15.35
SELGROS,16.04.2026 20:00,13.13
AUCHAN,17.04.2026 04:00,12.83
CARREFOUR,17.04.2026 04:00,15.11
CORA,17.04.2026 04:00,11.81
PROFI,17.04.2026 04:00,15.47
SELGROS,17.04.2026 04:00,13.13
