network,avg_price,min_price,max_price,stores
CORA,8.19,8.19,8.19,1
MEGA IMAGE SRL,8.88,8.88,8.88,24
CARREFOUR,8.93,8.69,9.55,11
KAUFLAND,8.99,8.99,8.99,9
PROFI,8.99,8.99,8.99,16
SELGROS,9.49,9.49,9.49,1

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,8.82
CORA,15.04.2026 04:00,8.19
KAUFLAND,15.04.2026 04:00,8.99
MEGA IMAGE SRL,15.04.2026 04:00,8.88
PROFI,15.04.2026 04:00,8.13
SELGROS,15.04.2026 04:00,9.49
AUCHAN,15.04.2026 20:00,8.69
CARREFOUR,15.04.2026 20:00,9.03
CORA,15.04.2026 20:00,8.19
KAUFLAND,15.04.2026 20:00,8.99
MEGA IMAGE SRL,15.04.2026 20:00,8.88
PROFI,15.04.2026 20:00,8.99
CARREFOUR,16.04.2026 04:00,8.93
CORA,16.04.2026 04:00,8.19
KAUFLAND,16.04.2026 04:00,8.99
MEGA IMAGE SRL,16.04.2026 04:00,8.88
PROFI,16.04.2026 04:00,8.99
SELGROS,16.04.2026 04:00,9.49
