network,avg_price,min_price,max_price,stores
KAUFLAND,13.09,13.09,13.09,9
SELGROS,13.1,13.1,13.1,1
CORA,13.4,13.4,13.4,1
MEGA IMAGE SRL,13.69,13.69,13.69,23
CARREFOUR,13.75,13.1,14.39,11
PROFI,13.85,13.85,13.85,13

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,13.58
CORA,15.04.2026 04:00,13.4
KAUFLAND,15.04.2026 04:00,13.09
MEGA IMAGE SRL,15.04.2026 04:00,13.69
PROFI,15.04.2026 04:00,13.85
SELGROS,15.04.2026 04:00,13.1
AUCHAN,15.04.2026 20:00,13.09
CARREFOUR,15.04.2026 20:00,13.87
CORA,15.04.2026 20:00,13.4
KAUFLAND,15.04.2026 20:00,13.09
MEGA IMAGE SRL,15.04.2026 20:00,13.69
PROFI,15.04.2026 20:00,13.85
CARREFOUR,16.04.2026 04:00,13.75
CORA,16.04.2026 04:00,13.4
KAUFLAND,16.04.2026 04:00,13.09
MEGA IMAGE SRL,16.04.2026 04:00,13.69
PROFI,16.04.2026 04:00,13.85
SELGROS,16.04.2026 04:00,13.1
