network,avg_price,min_price,max_price,stores
KAUFLAND,4.99,4.99,4.99,9
CORA,5.09,5.09,5.09,1
SELGROS,5.25,5.25,5.25,1
PROFI,6.49,6.09,10.19,16
CARREFOUR,8.67,4.99,11.49,11
MEGA IMAGE SRL,9.01,5.19,10.19,38
AUCHAN,9.49,9.49,9.49,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,9.49
CARREFOUR,15.04.2026 04:00,7.23
CORA,15.04.2026 04:00,9.59
KAUFLAND,15.04.2026 04:00,4.99
MEGA IMAGE SRL,15.04.2026 04:00,8.98
PROFI,15.04.2026 04:00,6.37
SELGROS,15.04.2026 04:00,5.25
AUCHAN,15.04.2026 20:00,9.49
CARREFOUR,15.04.2026 20:00,8.68
CORA,15.04.2026 20:00,5.09
KAUFLAND,15.04.2026 20:00,4.99
MEGA IMAGE SRL,15.04.2026 20:00,8.65
PROFI,15.04.2026 20:00,6.45
AUCHAN,16.04.2026 04:00,9.49
CARREFOUR,16.04.2026 04:00,8.67
CORA,16.04.2026 04:00,5.09
KAUFLAND,16.04.2026 04:00,4.99
MEGA IMAGE SRL,16.04.2026 04:00,9.01
PROFI,16.04.2026 04:00,6.49
SELGROS,16.04.2026 04:00,5.25
