network,avg_price,min_price,max_price,stores
KAUFLAND,9.49,9.49,9.49,167
SELGROS,11.39,11.39,11.39,17
PENNY,11.49,11.49,11.49,91
AUCHAN,11.94,11.6,13.99,7
MEGA IMAGE SRL,12.52,12.49,17.01,265
SUPECO,13.99,13.99,13.99,22
CARREFOUR,14.41,12.39,16.99,273
CORA,15.39,15.39,15.39,5
PROFI,16.01,11.19,16.49,803

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,14.69
KAUFLAND,13.04.2026 20:00,9.49
PENNY,13.04.2026 20:00,11.49
PROFI,13.04.2026 20:00,15.71
SELGROS,13.04.2026 20:00,11.39
CARREFOUR,15.04.2026 04:00,13.45
CORA,15.04.2026 04:00,15.39
KAUFLAND,15.04.2026 04:00,9.49
MEGA IMAGE SRL,15.04.2026 04:00,12.77
PROFI,15.04.2026 04:00,15.92
SELGROS,15.04.2026 04:00,11.39
SUPECO,15.04.2026 04:00,13.99
AUCHAN,15.04.2026 20:00,11.6
CARREFOUR,15.04.2026 20:00,14.52
CORA,15.04.2026 20:00,15.39
KAUFLAND,15.04.2026 20:00,9.49
MEGA IMAGE SRL,15.04.2026 20:00,12.69
PENNY,15.04.2026 20:00,11.49
PROFI,15.04.2026 20:00,16.02
SELGROS,15.04.2026 20:00,11.39
SUPECO,15.04.2026 20:00,13.99
CARREFOUR,16.04.2026 04:00,13.85
CORA,16.04.2026 04:00,15.39
KAUFLAND,16.04.2026 04:00,9.49
MEGA IMAGE SRL,16.04.2026 04:00,12.53
PROFI,16.04.2026 04:00,15.48
SELGROS,16.04.2026 04:00,11.39
SUPECO,16.04.2026 04:00,13.99
CARREFOUR,16.04.2026 20:00,13.53
CORA,16.04.2026 20:00,15.39
KAUFLAND,16.04.2026 20:00,9.49
MEGA IMAGE SRL,16.04.2026 20:00,12.49
PROFI,16.04.2026 20:00,15.37
SELGROS,16.04.2026 20:00,11.39
SUPECO,16.04.2026 20:00,13.99
AUCHAN,17.04.2026 04:00,11.94
CARREFOUR,17.04.2026 04:00,14.41
CORA,17.04.2026 04:00,15.39
KAUFLAND,17.04.2026 04:00,9.49
MEGA IMAGE SRL,17.04.2026 04:00,12.52
PENNY,17.04.2026 04:00,11.49
PROFI,17.04.2026 04:00,16.01
SELGROS,17.04.2026 04:00,11.39
SUPECO,17.04.2026 04:00,13.99
