network,avg_price,min_price,max_price,stores
AUCHAN,2.89,2.89,2.89,2
CORA,2.99,2.99,2.99,1
MEGA IMAGE SRL,3.09,3.09,3.09,36
KAUFLAND,3.09,3.09,3.09,9
CARREFOUR,3.1,2.99,3.29,4
SELGROS,3.89,3.89,3.89,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,2.89
CARREFOUR,15.04.2026 04:00,3.07
CORA,15.04.2026 04:00,2.99
KAUFLAND,15.04.2026 04:00,3.09
MEGA IMAGE SRL,15.04.2026 04:00,3.09
SELGROS,15.04.2026 04:00,3.89
AUCHAN,15.04.2026 20:00,2.89
CARREFOUR,15.04.2026 20:00,3.16
CORA,15.04.2026 20:00,2.99
KAUFLAND,15.04.2026 20:00,3.09
MEGA IMAGE SRL,15.04.2026 20:00,3.09
AUCHAN,16.04.2026 04:00,2.89
CARREFOUR,16.04.2026 04:00,3.1
CORA,16.04.2026 04:00,2.99
KAUFLAND,16.04.2026 04:00,3.09
MEGA IMAGE SRL,16.04.2026 04:00,3.09
SELGROS,16.04.2026 04:00,3.89
