network,avg_price,min_price,max_price,stores
AUCHAN,15.41,15.19,15.49,18
MEGA IMAGE SRL,15.89,15.89,15.89,43
CARREFOUR,15.98,15.49,17.49,55
CORA,17.69,17.69,17.69,5
SELGROS,18.89,18.89,18.89,14

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,15.49
AUCHAN,15.04.2026 04:00,15.49
CARREFOUR,15.04.2026 04:00,15.56
CORA,15.04.2026 04:00,17.69
MEGA IMAGE SRL,15.04.2026 04:00,15.89
SELGROS,15.04.2026 04:00,18.89
AUCHAN,15.04.2026 20:00,15.4
CARREFOUR,15.04.2026 20:00,15.93
CORA,15.04.2026 20:00,17.69
MEGA IMAGE SRL,15.04.2026 20:00,15.89
SELGROS,15.04.2026 20:00,18.89
AUCHAN,16.04.2026 04:00,15.49
CARREFOUR,16.04.2026 04:00,16.15
CORA,16.04.2026 04:00,17.69
MEGA IMAGE SRL,16.04.2026 04:00,15.89
SELGROS,16.04.2026 04:00,18.89
AUCHAN,16.04.2026 20:00,15.49
CARREFOUR,16.04.2026 20:00,15.79
CORA,16.04.2026 20:00,17.69
MEGA IMAGE SRL,16.04.2026 20:00,15.89
SELGROS,16.04.2026 20:00,18.89
AUCHAN,17.04.2026 04:00,15.41
CARREFOUR,17.04.2026 04:00,15.98
CORA,17.04.2026 04:00,17.69
MEGA IMAGE SRL,17.04.2026 04:00,15.89
SELGROS,17.04.2026 04:00,18.89
