network,avg_price,min_price,max_price,stores
CORA,2.99,2.99,2.99,1
CARREFOUR,3.05,3.05,3.05,12
AUCHAN,3.09,3.09,3.09,1
SELGROS,5.0,5.0,5.0,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,3.09
CARREFOUR,15.04.2026 04:00,3.05
CORA,15.04.2026 04:00,2.99
SELGROS,15.04.2026 04:00,5.0
AUCHAN,15.04.2026 20:00,3.09
CARREFOUR,15.04.2026 20:00,3.05
CORA,15.04.2026 20:00,2.99
AUCHAN,16.04.2026 04:00,3.09
CARREFOUR,16.04.2026 04:00,3.05
CORA,16.04.2026 04:00,2.99
SELGROS,16.04.2026 04:00,5.0
