network,avg_price,min_price,max_price,stores
PENNY,20.99,20.99,20.99,87
PROFI,22.05,21.99,31.99,324
CORA,29.75,29.19,29.89,5
KAUFLAND,29.99,29.99,29.99,165
AUCHAN,30.38,24.0,34.99,13
SELGROS,34.79,34.79,34.79,17

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,34.99
PENNY,13.04.2026 20:00,20.99
PROFI,13.04.2026 20:00,21.99
SELGROS,13.04.2026 20:00,34.79
AUCHAN,15.04.2026 04:00,34.99
CORA,15.04.2026 04:00,29.89
KAUFLAND,15.04.2026 04:00,34.99
PROFI,15.04.2026 04:00,21.99
SELGROS,15.04.2026 04:00,34.79
AUCHAN,15.04.2026 20:00,32.28
CORA,15.04.2026 20:00,29.77
KAUFLAND,15.04.2026 20:00,29.99
PENNY,15.04.2026 20:00,20.99
PROFI,15.04.2026 20:00,22.08
SELGROS,15.04.2026 20:00,34.79
AUCHAN,16.04.2026 04:00,34.99
CORA,16.04.2026 04:00,29.89
KAUFLAND,16.04.2026 04:00,29.99
PROFI,16.04.2026 04:00,21.99
SELGROS,16.04.2026 04:00,34.79
AUCHAN,16.04.2026 20:00,34.99
CORA,16.04.2026 20:00,29.89
KAUFLAND,16.04.2026 20:00,29.99
PROFI,16.04.2026 20:00,21.99
SELGROS,16.04.2026 20:00,34.79
AUCHAN,17.04.2026 04:00,30.38
CORA,17.04.2026 04:00,29.75
KAUFLAND,17.04.2026 04:00,29.99
PENNY,17.04.2026 04:00,20.99
PROFI,17.04.2026 04:00,22.05
SELGROS,17.04.2026 04:00,34.79
