network,avg_price,min_price,max_price,stores
CORA,16.49,16.49,16.49,1
MEGA IMAGE SRL,18.49,18.49,18.49,3
AUCHAN,18.59,18.59,18.59,1
PROFI,20.33,14.99,21.35,19
CARREFOUR,21.21,18.49,21.99,9
SELGROS,23.49,23.49,23.49,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,18.59
CARREFOUR,15.04.2026 04:00,20.24
CORA,15.04.2026 04:00,16.49
MEGA IMAGE SRL,15.04.2026 04:00,18.49
PROFI,15.04.2026 04:00,20.3
SELGROS,15.04.2026 04:00,23.49
AUCHAN,15.04.2026 20:00,18.59
CARREFOUR,15.04.2026 20:00,21.11
CORA,15.04.2026 20:00,16.49
MEGA IMAGE SRL,15.04.2026 20:00,18.49
PROFI,15.04.2026 20:00,20.51
AUCHAN,16.04.2026 04:00,18.59
CARREFOUR,16.04.2026 04:00,21.21
CORA,16.04.2026 04:00,16.49
MEGA IMAGE SRL,16.04.2026 04:00,18.49
PROFI,16.04.2026 04:00,20.33
SELGROS,16.04.2026 04:00,23.49
