network,avg_price,min_price,max_price,stores
PROFI,4.19,2.4,4.79,4
CARREFOUR,4.27,4.19,4.89,9
MEGA IMAGE SRL,4.59,4.59,4.59,36
AUCHAN,4.95,4.95,4.95,2
CORA,5.29,5.29,5.29,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,4.95
CARREFOUR,15.04.2026 04:00,4.19
CORA,15.04.2026 04:00,5.29
MEGA IMAGE SRL,15.04.2026 04:00,4.59
PROFI,15.04.2026 04:00,4.19
AUCHAN,15.04.2026 20:00,4.88
CARREFOUR,15.04.2026 20:00,4.27
CORA,15.04.2026 20:00,5.29
MEGA IMAGE SRL,15.04.2026 20:00,4.59
PROFI,15.04.2026 20:00,3.8
AUCHAN,16.04.2026 04:00,4.95
CARREFOUR,16.04.2026 04:00,4.27
CORA,16.04.2026 04:00,5.29
MEGA IMAGE SRL,16.04.2026 04:00,4.59
PROFI,16.04.2026 04:00,4.19
