network,avg_price,min_price,max_price,stores
CARREFOUR,3.49,3.49,3.49,38
AUCHAN,3.49,3.49,3.49,8
CORA,3.61,3.29,3.69,5
KAUFLAND,3.99,3.99,3.99,164

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,3.49
KAUFLAND,13.04.2026 20:00,3.99
CARREFOUR,15.04.2026 04:00,3.49
CORA,15.04.2026 04:00,3.69
KAUFLAND,15.04.2026 04:00,3.99
AUCHAN,15.04.2026 20:00,3.49
CARREFOUR,15.04.2026 20:00,3.49
CORA,15.04.2026 20:00,3.62
KAUFLAND,15.04.2026 20:00,3.99
CARREFOUR,16.04.2026 04:00,3.49
CORA,16.04.2026 04:00,3.69
KAUFLAND,16.04.2026 04:00,3.99
CARREFOUR,16.04.2026 20:00,3.49
CORA,16.04.2026 20:00,3.69
KAUFLAND,16.04.2026 20:00,3.99
AUCHAN,17.04.2026 04:00,3.49
CARREFOUR,17.04.2026 04:00,3.49
CORA,17.04.2026 04:00,3.61
KAUFLAND,17.04.2026 04:00,3.99
