network,avg_price,min_price,max_price,stores
PROFI,3.42,1.6,4.29,39
AUCHAN,3.77,3.77,3.77,25
SELGROS,5.29,5.29,5.29,17

network,price_date,avg_price
SELGROS,13.04.2026 20:00,5.29
AUCHAN,15.04.2026 04:00,3.77
SELGROS,15.04.2026 04:00,5.29
AUCHAN,15.04.2026 20:00,3.77
PROFI,15.04.2026 20:00,3.54
SELGROS,15.04.2026 20:00,5.29
AUCHAN,16.04.2026 04:00,3.77
SELGROS,16.04.2026 04:00,5.29
AUCHAN,16.04.2026 20:00,3.77
SELGROS,16.04.2026 20:00,5.29
AUCHAN,17.04.2026 04:00,3.77
PROFI,17.04.2026 04:00,3.42
SELGROS,17.04.2026 04:00,5.29
