network,avg_price,min_price,max_price,stores
SELGROS,19.92,19.92,19.92,17
AUCHAN,26.04,18.69,28.49,28
CORA,29.15,28.19,29.39,5
PROFI,29.92,27.99,29.99,418
CARREFOUR,30.66,28.49,32.49,256

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,30.49
PROFI,13.04.2026 20:00,29.32
SELGROS,13.04.2026 20:00,19.92
CARREFOUR,15.04.2026 04:00,30.05
CORA,15.04.2026 04:00,29.39
PROFI,15.04.2026 04:00,29.99
SELGROS,15.04.2026 04:00,19.92
AUCHAN,15.04.2026 20:00,26.04
CARREFOUR,15.04.2026 20:00,30.75
CORA,15.04.2026 20:00,29.19
PROFI,15.04.2026 20:00,29.97
SELGROS,15.04.2026 20:00,19.92
CARREFOUR,16.04.2026 04:00,30.64
CORA,16.04.2026 04:00,29.39
PROFI,16.04.2026 04:00,29.99
SELGROS,16.04.2026 04:00,19.92
AUCHAN,16.04.2026 20:00,28.49
CARREFOUR,16.04.2026 20:00,30.25
CORA,16.04.2026 20:00,29.39
PROFI,16.04.2026 20:00,29.99
SELGROS,16.04.2026 20:00,19.92
AUCHAN,17.04.2026 04:00,26.04
CARREFOUR,17.04.2026 04:00,30.66
CORA,17.04.2026 04:00,29.15
PROFI,17.04.2026 04:00,29.92
SELGROS,17.04.2026 04:00,19.92
