network,avg_price,min_price,max_price,stores
CORA,11.57,11.49,11.59,5
AUCHAN,12.64,11.99,12.99,21
PROFI,13.58,11.35,14.69,250
KAUFLAND,13.99,13.99,13.99,70
CARREFOUR,14.07,13.49,14.99,87
MEGA IMAGE SRL,14.19,14.19,14.19,69
SELGROS,17.3,17.3,17.3,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,13.49
KAUFLAND,13.04.2026 20:00,13.99
PROFI,13.04.2026 20:00,13.29
SELGROS,13.04.2026 20:00,17.3
AUCHAN,15.04.2026 04:00,12.99
CARREFOUR,15.04.2026 04:00,13.74
CORA,15.04.2026 04:00,11.59
KAUFLAND,15.04.2026 04:00,13.99
MEGA IMAGE SRL,15.04.2026 04:00,13.99
PROFI,15.04.2026 04:00,13.74
SELGROS,15.04.2026 04:00,17.3
AUCHAN,15.04.2026 20:00,12.66
CARREFOUR,15.04.2026 20:00,14.04
CORA,15.04.2026 20:00,11.57
KAUFLAND,15.04.2026 20:00,13.99
MEGA IMAGE SRL,15.04.2026 20:00,13.99
PROFI,15.04.2026 20:00,13.62
SELGROS,15.04.2026 20:00,17.3
AUCHAN,16.04.2026 04:00,12.99
CARREFOUR,16.04.2026 04:00,14.17
CORA,16.04.2026 04:00,11.59
KAUFLAND,16.04.2026 04:00,13.99
MEGA IMAGE SRL,16.04.2026 04:00,13.99
PROFI,16.04.2026 04:00,13.69
SELGROS,16.04.2026 04:00,17.3
AUCHAN,16.04.2026 20:00,12.79
CARREFOUR,16.04.2026 20:00,13.99
CORA,16.04.2026 20:00,11.59
KAUFLAND,16.04.2026 20:00,13.99
MEGA IMAGE SRL,16.04.2026 20:00,14.21
PROFI,16.04.2026 20:00,13.83
SELGROS,16.04.2026 20:00,17.3
AUCHAN,17.04.2026 04:00,12.64
CARREFOUR,17.04.2026 04:00,14.07
CORA,17.04.2026 04:00,11.57
KAUFLAND,17.04.2026 04:00,13.99
MEGA IMAGE SRL,17.04.2026 04:00,14.19
PROFI,17.04.2026 04:00,13.58
SELGROS,17.04.2026 04:00,17.3
