network,avg_price,min_price,max_price,stores
SELGROS,16.26,16.26,16.26,1
CORA,16.99,16.99,16.99,1
AUCHAN,17.19,17.19,17.19,1
MEGA IMAGE SRL,17.39,17.39,17.39,36
KAUFLAND,17.99,17.99,17.99,9
CARREFOUR,18.37,17.25,19.49,12
PROFI,18.74,13.29,19.59,20

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,17.19
CARREFOUR,15.04.2026 04:00,17.99
CORA,15.04.2026 04:00,16.99
KAUFLAND,15.04.2026 04:00,17.99
MEGA IMAGE SRL,15.04.2026 04:00,17.53
PROFI,15.04.2026 04:00,18.84
SELGROS,15.04.2026 04:00,16.26
SUPECO,15.04.2026 04:00,16.99
AUCHAN,15.04.2026 20:00,17.19
CARREFOUR,15.04.2026 20:00,18.57
CORA,15.04.2026 20:00,16.99
KAUFLAND,15.04.2026 20:00,17.99
MEGA IMAGE SRL,15.04.2026 20:00,17.41
PROFI,15.04.2026 20:00,18.93
AUCHAN,16.04.2026 04:00,17.19
CARREFOUR,16.04.2026 04:00,18.37
CORA,16.04.2026 04:00,16.99
KAUFLAND,16.04.2026 04:00,17.99
MEGA IMAGE SRL,16.04.2026 04:00,17.39
PROFI,16.04.2026 04:00,18.74
SELGROS,16.04.2026 04:00,16.26
