network,avg_price,min_price,max_price,stores
AUCHAN,27.82,24.99,32.39,21
CORA,28.7,28.5,29.5,5
CARREFOUR,32.14,31.19,33.09,243
KAUFLAND,33.19,33.19,33.19,167
MEGA IMAGE SRL,33.29,32.59,37.16,292
PROFI,33.56,31.45,35.19,701

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,32.09
KAUFLAND,13.04.2026 20:00,33.19
PROFI,13.04.2026 20:00,32.87
AUCHAN,15.04.2026 04:00,24.99
CARREFOUR,15.04.2026 04:00,31.79
CORA,15.04.2026 04:00,28.5
KAUFLAND,15.04.2026 04:00,33.19
MEGA IMAGE SRL,15.04.2026 04:00,32.96
PROFI,15.04.2026 04:00,34.01
AUCHAN,15.04.2026 20:00,27.85
CARREFOUR,15.04.2026 20:00,32.18
CORA,15.04.2026 20:00,28.5
KAUFLAND,15.04.2026 20:00,33.19
MEGA IMAGE SRL,15.04.2026 20:00,33.03
PROFI,15.04.2026 20:00,33.67
AUCHAN,16.04.2026 04:00,24.99
CARREFOUR,16.04.2026 04:00,32.0
CORA,16.04.2026 04:00,28.5
KAUFLAND,16.04.2026 04:00,33.19
MEGA IMAGE SRL,16.04.2026 04:00,32.66
PROFI,16.04.2026 04:00,33.65
AUCHAN,16.04.2026 20:00,24.99
CARREFOUR,16.04.2026 20:00,31.72
CORA,16.04.2026 20:00,28.83
KAUFLAND,16.04.2026 20:00,33.19
MEGA IMAGE SRL,16.04.2026 20:00,32.87
PROFI,16.04.2026 20:00,33.34
AUCHAN,17.04.2026 04:00,27.82
CARREFOUR,17.04.2026 04:00,32.14
CORA,17.04.2026 04:00,28.7
KAUFLAND,17.04.2026 04:00,33.19
MEGA IMAGE SRL,17.04.2026 04:00,33.29
PROFI,17.04.2026 04:00,33.56
